Inadimplencia,Valor ,Motivo,Trabalho,Negados,Idade,Genero
1,9100,1,2,1,11,1
0,9100,2,2,1,22,0
0,9100,1,2,3,11,0
1,9100,2,3,0,51,0
1,9100,1,2,0,18,0
1,9100,2,2,0,10,0
0,9100,1,2,0,28,0
0,9100,2,1,2,13,0
0,9100,2,2,0,93,1
0,9100,,2,,,1
0,9100,2,1,0,92,0
0,9100,1,2,0,92,0
0,9100,2,1,1,24,0
0,9100,2,2,0,20,0
0,9200,1,2,,12,0
0,9200,2,3,0,1,0
0,9200,2,1,1,22,1
0,9200,1,2,0,0.4867114508,1
0,9200,1,1,0,192.8,1
1,9200,1,2,0,12,1
1,9200,1,2,0,14,0
0,9200,1,2,0,10,0
0,9200,1,1,0,12,0
0,9200,1,1,1,11,0
0,9200,1,2,4,21,0
0,9200,1,2,0,21,0
0,9300,1,2,0,6,0
0,9300,1,0,0,99,0
0,9300,,2,0,23,0
0,9300,1,2,0,2,1
0,9300,2,2,0,3,0
0,9300,1,2,0,13,1
0,9300,2,2,,92,0
0,9300,1,1,0,10,0
0,9300,1,3,0,10,0
0,9300,2,2,1,2,0
0,9300,2,1,,30,1
0,9300,1,1,,1,0
0,9300,1,2,0,1,1
1,9300,1,2,0,41,1
1,9300,1,1,2,88.5,1
1,9300,1,2,1,14,0
0,9300,1,3,,,0
0,9300,2,3,1,245.9,0
0,9300,2,2,0,30,0
0,9300,1,0,0,,0
0,9300,1,2,0,2,1
1,9300,1,2,0,91,0
0,9300,2,2,2,13,0
0,9300,2,3,,29,1
0,9300,1,2,,,0
0,9300,1,2,1,18,1
0,9400,1,2,0,17,0
0,9400,1,1,0,10,0
0,9400,2,1,,9,0
0,9400,2,3,0,12,0
1,9400,2,1,0,14,0
0,9400,1,2,0,10,0
0,9400,1,2,0,14,0
0,9400,2,2,0,33,1
0,9400,2,2,0,3,0
0,9400,1,2,0,17,0
0,9400,2,3,0,80,0
