ID de produto único,peso dos produtos,especifica se o produto tem baixo teor de gordura ou não,porcentagem da área total de exibição de todos os produtos em uma loja alocada para o produto específico,a categoria à qual o produto pertence,Preço máximo de varejo (preço listado) dos produtos,ID de loja única,ano de criação dos pontos de venda,o tamanho da loja em termos de área coberta,o tipo de cidade em que a loja está localizada,(variável de destino) vendas do produto na loja específica
FDZ60,20.5,Low Fat,0.119361811,Baking Goods,1.078.596,OUT046,1997,Small,Tier 1,Supermarket Type1
DRG03,14.5,Low Fat,0.062112285,Dairy,1.542.998,OUT045,2002,,Tier 2,Supermarket Type1
FDS56,5.785,Regular,0.038914743,Fruits and Vegetables,2.640.252,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDU33,7.63,Regular,0.134982959,Snack Foods,452.402,OUT045,2002,,Tier 2,Supermarket Type1
DRD27,18.75,Low Fat,0.023835413,Dairy,991.042,OUT035,2004,Small,Tier 2,Supermarket Type1
FDW22,9.695,Regular,0,Snack Foods,2.231.114,OUT046,1997,Small,Tier 1,Supermarket Type1
DRA24,19.35,Regular,0.040009212,Soft Drinks,1.632.868,OUT045,2002,,Tier 2,Supermarket Type1
FDF38,11.8,Regular,0.026398984,Canned,389.138,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDX48,17.75,Regular,0.037856364,Baking Goods,1.543.656,OUT013,1987,High,Tier 3,Supermarket Type1
FDS58,9.285,Regular,0.021092185,Snack Foods,1.608.578,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDC32,18.35,Low Fat,0.099109001,Fruits and Vegetables,929.462,OUT046,1997,Small,Tier 1,Supermarket Type1
NCQ29,12,Low Fat,0.104441517,Health and Hygiene,2.617.278,OUT045,2002,,Tier 2,Supermarket Type1
DRK39,7.02,Low Fat,0.05006853,Dairy,84.025,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCS38,8.6,Low Fat,0.090701591,Household,1.142.176,OUT017,2007,,Tier 2,Supermarket Type1
DRO47,10.195,Low Fat,0.112131275,Hard Drinks,112.086,OUT013,1987,High,Tier 3,Supermarket Type1
DRG27,,Low Fat,0.104601689,Dairy,423.138,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDC57,,Regular,0.054330154,Fruits and Vegetables,191.482,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDS55,7.02,Low Fat,0.081164178,Fruits and Vegetables,1.467.734,OUT046,1997,Small,Tier 1,Supermarket Type1
NCJ06,20.1,Low Fat,0.034793779,Household,1.198.782,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDO01,,Regular,0.036275691,Breakfast,1.295.994,OUT019,1985,Small,Tier 1,Grocery Store
NCM55,15.6,Low Fat,0.066861456,Others,1.857.924,OUT045,2002,,Tier 2,Supermarket Type1
FDC52,11.15,Regular,0.008292773,Dairy,1.522.708,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDQ15,20.35,Regular,0.151379828,Meat,801.276,OUT045,2002,,Tier 2,Supermarket Type1
NCT30,,Low Fat,0.079904068,Household,475.718,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCR42,,Low Fat,0.038295533,Household,32.39,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDD28,10.695,Low Fat,0,Frozen Foods,578.904,OUT035,2004,Small,Tier 2,Supermarket Type1
FDQ34,10.85,Low Fat,0.162494861,Snack Foods,1.045.622,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDZ12,,Low Fat,0.102480138,Baking Goods,142.747,OUT027,1985,Medium,Tier 3,Supermarket Type3
DRE13,,Low Fat,0.048508058,Soft Drinks,861.198,OUT019,1985,Small,Tier 1,Grocery Store
NCN07,,Low Fat,0.059432784,Others,1.330.284,OUT019,1985,Small,Tier 1,Grocery Store
FDM28,15.7,Low Fat,0.045195307,Frozen Foods,180.766,OUT035,2004,Small,Tier 2,Supermarket Type1
FDI10,8.51,Regular,0.078847814,Snack Foods,1.715.422,OUT017,2007,,Tier 2,Supermarket Type1
FDQ25,8.63,Regular,0.028253161,Canned,1.704.422,OUT013,1987,High,Tier 3,Supermarket Type1
FDA38,5.44,Low Fat,0.042648161,Dairy,2.415.538,OUT010,1998,,Tier 3,Grocery Store
DRI13,15.35,Low Fat,0.020358565,Soft Drinks,2.165.508,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDY20,,Regular,0.081356869,Fruits and Vegetables,902.488,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCZ53,9.6,Low Fat,0.024472537,Health and Hygiene,1.872.214,OUT035,2004,Small,Tier 2,Supermarket Type1
NCM31,6.095,Low Fat,0.081129049,Others,1.438.154,OUT013,1987,High,Tier 3,Supermarket Type1
DRB01,7.39,Low Fat,0.082704564,Soft Drinks,189.053,OUT017,2007,,Tier 2,Supermarket Type1
DRF37,17.25,Low Fat,0.084332638,Soft Drinks,262.091,OUT046,1997,Small,Tier 1,Supermarket Type1
NCF42,17.35,Low Fat,0.167643297,Household,1.771.712,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDF16,7.3,LF,0.08648324,Frozen Foods,1.489.076,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDB41,19,Regular,0.097232147,Frozen Foods,478.718,OUT013,1987,High,Tier 3,Supermarket Type1
FDR34,17,Regular,0.015952023,Snack Foods,2.273.352,OUT013,1987,High,Tier 3,Supermarket Type1
FDR15,9.3,Regular,0.033574204,Meat,1.557.314,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCV42,,Low Fat,0.05501583,Household,1.118.228,OUT019,1985,Small,Tier 1,Grocery Store
FDW51,6.155,Regular,0.094641972,Meat,212.056,OUT035,2004,Small,Tier 2,Supermarket Type1
FDU36,6.15,Low Fat,0.046532678,Baking Goods,972.384,OUT017,2007,,Tier 2,Supermarket Type1
FDX60,14.35,Low Fat,0.080719435,Baking Goods,80.996,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDY03,17.6,Regular,0.076107437,Meat,1.130.202,OUT035,2004,Small,Tier 2,Supermarket Type1
FDW55,12.6,Regular,0.022014451,Fruits and Vegetables,2.482.092,OUT045,2002,,Tier 2,Supermarket Type1
FDT01,13.65,reg,0.308258994,Canned,2.130.902,OUT010,1998,,Tier 3,Grocery Store
FDG58,10.695,Regular,0.086708987,Snack Foods,1.546.972,OUT013,1987,High,Tier 3,Supermarket Type1
FDK21,7.905,Low Fat,0.010068952,Snack Foods,2.494.408,OUT017,2007,,Tier 2,Supermarket Type1
NCS41,,Low Fat,0.093573569,Health and Hygiene,1.824.608,OUT019,1985,Small,Tier 1,Grocery Store
FDS10,19.2,Low Fat,0.035256945,Snack Foods,1.817.318,OUT045,2002,,Tier 2,Supermarket Type1
NCT53,5.4,Low Fat,0.048116258,Health and Hygiene,1.649.526,OUT046,1997,Small,Tier 1,Supermarket Type1
FDJ28,12.3,Low Fat,0.021950037,Frozen Foods,1.907.162,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDX44,9.3,Low Fat,0.043053682,Fruits and Vegetables,876.172,OUT045,2002,,Tier 2,Supermarket Type1
FDT20,10.5,Low Fat,0.041564073,Fruits and Vegetables,384.164,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDO44,12.6,low fat,0.087947879,Fruits and Vegetables,1.099.228,OUT017,2007,,Tier 2,Supermarket Type1
NCX17,21.25,Low Fat,0.113780055,Health and Hygiene,234.93,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDY01,11.8,Regular,0.171246685,Canned,1.165.834,OUT017,2007,,Tier 2,Supermarket Type1
FDJ12,,Regular,0.038852056,Baking Goods,2.095.296,OUT027,1985,Medium,Tier 3,Supermarket Type3
DRK35,8.365,low fat,0.072139167,Hard Drinks,367.506,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDD47,,Regular,0.249342884,Starchy Foods,1.685.448,OUT019,1985,Small,Tier 1,Grocery Store
NCM53,18.75,Low Fat,0.052031075,Health and Hygiene,106.228,OUT035,2004,Small,Tier 2,Supermarket Type1
FDO45,13.15,Regular,0.037921193,Snack Foods,873.856,OUT013,1987,High,Tier 3,Supermarket Type1
NCM42,6.13,LF,0.047404371,Household,1.093.912,OUT010,1998,,Tier 3,Grocery Store
FDE04,19.75,Regular,0,Frozen Foods,179.666,OUT046,1997,Small,Tier 1,Supermarket Type1
NCI30,,Low Fat,0.058650124,Household,247.846,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDZ19,6.425,Low Fat,0.093377128,Fruits and Vegetables,1.746.712,OUT013,1987,High,Tier 3,Supermarket Type1
FDW57,8.31,Regular,0.115581112,Snack Foods,1.775.028,OUT013,1987,High,Tier 3,Supermarket Type1
FDA25,16.5,Regular,0,Canned,102.299,OUT013,1987,High,Tier 3,Supermarket Type1
FDT22,10.395,LF,0.112097216,Snack Foods,59.022,OUT046,1997,Small,Tier 1,Supermarket Type1
FDP51,13.85,Regular,0.085204025,Meat,1.189.124,OUT013,1987,High,Tier 3,Supermarket Type1
FDD48,,Low Fat,0.030012644,Baking Goods,1.161.176,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDY39,5.305,Regular,0.0470198,Meat,1.827.608,OUT035,2004,Small,Tier 2,Supermarket Type1
FDO48,15,Regular,0.04492594,Baking Goods,2.219.456,OUT010,1998,,Tier 3,Grocery Store
FDD23,,reg,0.048449768,Starchy Foods,1.855.898,OUT027,1985,Medium,Tier 3,Supermarket Type3
DRN35,,Low Fat,0.069907412,Hard Drinks,369.532,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDT01,13.65,Regular,0.184132888,Canned,2.140.902,OUT035,2004,Small,Tier 2,Supermarket Type1
FDC20,10.65,LF,0.040123315,Fruits and Vegetables,546.272,OUT010,1998,,Tier 3,Grocery Store
DRJ35,10.1,low fat,0.046575743,Hard Drinks,621.878,OUT035,2004,Small,Tier 2,Supermarket Type1
FDB32,20.6,Low Fat,0.023452939,Fruits and Vegetables,936.778,OUT046,1997,Small,Tier 1,Supermarket Type1
FDL24,10.3,Regular,0.024896589,Baking Goods,1.732.422,OUT046,1997,Small,Tier 1,Supermarket Type1
NCV42,6.26,LF,0.031416038,Household,1.125.228,OUT035,2004,Small,Tier 2,Supermarket Type1
FDZ46,7.485,Low Fat,0.06912372,Snack Foods,1.092.228,OUT046,1997,Small,Tier 1,Supermarket Type1
FDC15,18.1,Low Fat,0.177820954,Dairy,1.557.288,OUT013,1987,High,Tier 3,Supermarket Type1
FDD08,,LF,0.061900923,Fruits and Vegetables,378.506,OUT019,1985,Small,Tier 1,Grocery Store
FDY50,5.8,Low Fat,0,Dairy,888.172,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDD36,13.3,Low Fat,0.021255857,Baking Goods,1.191.124,OUT013,1987,High,Tier 3,Supermarket Type1
FDG57,,Low Fat,0.071948252,Fruits and Vegetables,488.034,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDL21,15.85,Regular,0.007175526,Snack Foods,40.848,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDN16,,Regular,0.06239666,Frozen Foods,101.999,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDJ09,,LF,0.058112049,Snack Foods,455.744,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDS01,11.6,Low Fat,0.02970149,Canned,1.793.686,OUT010,1998,,Tier 3,Grocery Store
FDV33,9.6,Regular,0.027498277,Snack Foods,2.602.304,OUT017,2007,,Tier 2,Supermarket Type1
DRE12,4.59,Low Fat,0.071180921,Soft Drinks,114.186,OUT017,2007,,Tier 2,Supermarket Type1
FDR07,21.35,Low Fat,0.077679213,Fruits and Vegetables,972.094,OUT013,1987,High,Tier 3,Supermarket Type1
FDP48,7.52,Regular,0.073685833,Baking Goods,183.895,OUT010,1998,,Tier 3,Grocery Store
NCB55,15.7,Low Fat,0.160632642,Household,578.562,OUT035,2004,Small,Tier 2,Supermarket Type1
FDQ08,15.7,Regular,0.018914599,Fruits and Vegetables,596.536,OUT013,1987,High,Tier 3,Supermarket Type1
FDR34,17,Regular,0.01596229,Snack Foods,2.308.352,OUT035,2004,Small,Tier 2,Supermarket Type1
FDO33,14.75,Low Fat,0.089322461,Snack Foods,1.122.518,OUT046,1997,Small,Tier 1,Supermarket Type1
FDP13,8.1,Regular,0.134595967,Canned,38.448,OUT045,2002,,Tier 2,Supermarket Type1
FDX12,18.2,Regular,0,Baking Goods,2.430.196,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCT06,17.1,Low Fat,0.03879778,Household,1.663.842,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDR16,,Regular,0,Frozen Foods,2.137.218,OUT019,1985,Small,Tier 1,Grocery Store
FDE36,5.26,reg,0.041772386,Baking Goods,1.650.868,OUT046,1997,Small,Tier 1,Supermarket Type1
FDZ36,6.035,Regular,0.065886059,Baking Goods,184.924,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDV13,17.35,Regular,0.027666863,Canned,879.856,OUT045,2002,,Tier 2,Supermarket Type1
NCZ17,12.15,Low Fat,0.079416624,Health and Hygiene,362.506,OUT035,2004,Small,Tier 2,Supermarket Type1
FDU56,16.85,Low Fat,0.044504129,Fruits and Vegetables,1.835.266,OUT045,2002,,Tier 2,Supermarket Type1
FDM09,11.15,Regular,0.085915295,Snack Foods,170.779,OUT035,2004,Small,Tier 2,Supermarket Type1
FDV02,16.75,Low Fat,0.060888099,Dairy,1.719.106,OUT017,2007,,Tier 2,Supermarket Type1
FDS34,19.35,reg,0.07707176,Snack Foods,1.128.518,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDA11,7.75,Low Fat,0.043306047,Baking Goods,953.436,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDP09,19.75,Low Fat,0.034081551,Snack Foods,2.117.902,OUT017,2007,,Tier 2,Supermarket Type1
FDB29,,Regular,0.05215787,Frozen Foods,1.144.176,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDT19,7.59,Regular,0,Fruits and Vegetables,172.808,OUT017,2007,,Tier 2,Supermarket Type1
DRH15,8.775,Low Fat,0.110532975,Dairy,442.428,OUT017,2007,,Tier 2,Supermarket Type1
FDY38,13.6,Regular,0.119176431,Dairy,233.93,OUT046,1997,Small,Tier 1,Supermarket Type1
FDF14,,Low Fat,0.027038245,Canned,151.834,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDN48,13.35,Low Fat,0.108714206,Baking Goods,932.804,OUT010,1998,,Tier 3,Grocery Store
FDQ12,12.65,Low Fat,0.03538128,Baking Goods,230.701,OUT013,1987,High,Tier 3,Supermarket Type1
NCJ43,6.635,Low Fat,0.027124299,Household,1.729.396,OUT045,2002,,Tier 2,Supermarket Type1
FDE17,,Regular,0.095344543,Frozen Foods,1.523.366,OUT019,1985,Small,Tier 1,Grocery Store
FDB05,5.155,Low Fat,0.08318261,Frozen Foods,2.488.776,OUT035,2004,Small,Tier 2,Supermarket Type1
FDH10,21,Low Fat,0.049405001,Snack Foods,1.928.478,OUT045,2002,,Tier 2,Supermarket Type1
NCR06,12.5,Low Fat,0.006803416,Household,408.112,OUT017,2007,,Tier 2,Supermarket Type1
FDU32,8.785,Low Fat,0.026073405,Fruits and Vegetables,1.214.414,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDD56,15.2,Regular,0.103939618,Fruits and Vegetables,1.736.054,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDO36,19.7,Low Fat,0.078231229,Baking Goods,181.466,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDH16,10.5,Low Fat,0.087966875,Frozen Foods,91.583,OUT010,1998,,Tier 3,Grocery Store
FDX10,6.385,Regular,0.124214471,Snack Foods,355.874,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDZ37,8.1,Regular,0.019880322,Canned,880.198,OUT017,2007,,Tier 2,Supermarket Type1
FDU31,10.5,Regular,0.041829904,Fruits and Vegetables,2.178.508,OUT010,1998,,Tier 3,Grocery Store
DRC49,8.67,LF,0.065538317,Soft Drinks,1.418.128,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDL15,17.85,Low Fat,0.046729336,Meat,1.525.682,OUT045,2002,,Tier 2,Supermarket Type1
FDN32,,Low Fat,0,Fruits and Vegetables,1.860.266,OUT019,1985,Small,Tier 1,Grocery Store
DRH59,,Low Fat,0.058150483,Hard Drinks,74.138,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCU29,7.685,Low Fat,0.025517058,Health and Hygiene,147.476,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDR37,,Regular,0,Breakfast,1.837.292,OUT019,1985,Small,Tier 1,Grocery Store
FDS14,7.285,Low Fat,0.050167414,Dairy,1.569.288,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDU02,,Low Fat,0.102015088,Dairy,2.272.352,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDJ08,11.1,Low Fat,0.110651177,Fruits and Vegetables,1.927.846,OUT035,2004,Small,Tier 2,Supermarket Type1
NCZ06,19.6,Low Fat,0.094352624,Household,2.538.698,OUT045,2002,,Tier 2,Supermarket Type1
FDO31,6.76,Regular,0.029027743,Fruits and Vegetables,81.396,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDH31,12,Regular,0.020494302,Meat,1.012.042,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS58,9.285,Regular,0.021125435,Snack Foods,1.597.578,OUT017,2007,,Tier 2,Supermarket Type1
NCA53,,Low Fat,0.009830622,Health and Hygiene,489.034,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDF50,4.905,Low Fat,0,Canned,1.977.768,OUT046,1997,Small,Tier 1,Supermarket Type1
NCW42,18.2,Low Fat,0.058559885,Household,2.226.456,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCQ17,10.3,Low Fat,0.117169698,Health and Hygiene,156.163,OUT045,2002,,Tier 2,Supermarket Type1
FDK51,19.85,Low Fat,0.005256469,Dairy,2.640.884,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCW41,18,Low Fat,0.025860761,Health and Hygiene,1.571.604,OUT010,1998,,Tier 3,Grocery Store
NCR29,7.565,Low Fat,0.054949947,Health and Hygiene,54.993,OUT017,2007,,Tier 2,Supermarket Type1
FDB08,,Low Fat,0.054457963,Fruits and Vegetables,1.588.578,OUT019,1985,Small,Tier 1,Grocery Store
FDA40,,Regular,0.098790484,Frozen Foods,858.856,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDL14,8.115,Regular,0.032289868,Canned,1.576.972,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDB47,8.8,Low Fat,0.071429389,Snack Foods,2.074.612,OUT046,1997,Small,Tier 1,Supermarket Type1
FDO03,10.395,Regular,0.036876003,Meat,2.283.352,OUT035,2004,Small,Tier 2,Supermarket Type1
DRK13,,Low Fat,0.201643565,Soft Drinks,1.977.084,OUT019,1985,Small,Tier 1,Grocery Store
FDX13,7.725,Low Fat,0.079978878,Canned,2.483.092,OUT010,1998,,Tier 3,Grocery Store
FDF52,9.3,Low Fat,0.066783292,Frozen Foods,1.830.292,OUT046,1997,Small,Tier 1,Supermarket Type1
FDT11,5.94,Regular,0.029347924,Breads,1.884.556,OUT013,1987,High,Tier 3,Supermarket Type1
FDB08,6.055,Low Fat,0,Fruits and Vegetables,1.601.578,OUT013,1987,High,Tier 3,Supermarket Type1
FDQ28,14,Regular,0,Frozen Foods,1.556.656,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDD29,12.15,Low Fat,0.018447852,Frozen Foods,2.526.698,OUT045,2002,,Tier 2,Supermarket Type1
NCQ29,,Low Fat,0.103725396,Health and Hygiene,2.617.278,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCO02,11.15,Low Fat,0.073307104,Others,652.142,OUT013,1987,High,Tier 3,Supermarket Type1
FDR56,15.5,Regular,0.168661356,Fruits and Vegetables,1.958.768,OUT010,1998,,Tier 3,Grocery Store
NCM54,17.7,Low Fat,0.051018257,Household,1.252.678,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDP51,13.85,Regular,0.085258864,Meat,1.168.124,OUT035,2004,Small,Tier 2,Supermarket Type1
FDT38,18.7,Low Fat,0.057489563,Dairy,847.566,OUT013,1987,High,Tier 3,Supermarket Type1
FDZ20,16.1,Low Fat,0.034446714,Fruits and Vegetables,2.533.356,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDJ53,10.5,Low Fat,0.071198613,Frozen Foods,1.206.098,OUT013,1987,High,Tier 3,Supermarket Type1
FDX13,7.725,Low Fat,0.047857249,Canned,2.492.092,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDP58,11.1,Low Fat,0.135116764,Snack Foods,2.204.482,OUT035,2004,Small,Tier 2,Supermarket Type1
NCK31,,Low Fat,0.047357161,Others,519.666,OUT019,1985,Small,Tier 1,Grocery Store
FDA35,14.85,Regular,0.054056872,Baking Goods,1.232.072,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDV37,13,Regular,0.083854075,Canned,1.987.426,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCO07,,Low Fat,0.009728926,Others,213.656,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDA20,6.78,Low Fat,0.066756194,Fruits and Vegetables,187.324,OUT045,2002,,Tier 2,Supermarket Type1
FDZ59,6.63,Regular,0.104001913,Baking Goods,168.45,OUT035,2004,Small,Tier 2,Supermarket Type1
NCY17,18.2,Low Fat,0.164018678,Health and Hygiene,449.086,OUT017,2007,,Tier 2,Supermarket Type1
FDQ28,14,Regular,0.060415636,Frozen Foods,1.531.656,OUT035,2004,Small,Tier 2,Supermarket Type1
FDV35,19.5,Low Fat,0.128931187,Breads,1.546.314,OUT017,2007,,Tier 2,Supermarket Type1
FDQ36,7.855,Regular,0.161413005,Baking Goods,352.848,OUT013,1987,High,Tier 3,Supermarket Type1
FDD34,7.945,Low Fat,0.01594096,Snack Foods,163.121,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDK51,19.85,Low Fat,0,Dairy,2.650.884,OUT045,2002,,Tier 2,Supermarket Type1
FDV31,9.8,LF,0.106697143,Fruits and Vegetables,175.637,OUT035,2004,Small,Tier 2,Supermarket Type1
FDR04,7.075,Low Fat,0.022562708,Frozen Foods,959.068,OUT035,2004,Small,Tier 2,Supermarket Type1
FDR14,11.65,Low Fat,0.174319632,Dairy,555.298,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRC36,13,Regular,0.075295456,Soft Drinks,1.744.054,OUT010,1998,,Tier 3,Grocery Store
FDE39,,Low Fat,0.063266852,Dairy,1.206.782,OUT019,1985,Small,Tier 1,Grocery Store
FDP57,17.5,Low Fat,0.052525654,Snack Foods,104.399,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDE57,9.6,Low Fat,0.036285125,Fruits and Vegetables,1.412.154,OUT046,1997,Small,Tier 1,Supermarket Type1
NCN18,8.895,Low Fat,0.12471467,Household,1.114.544,OUT046,1997,Small,Tier 1,Supermarket Type1
NCQ05,11.395,Low Fat,0.021694101,Health and Hygiene,1.500.708,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDW47,15,LF,0.046366458,Breads,1.199.414,OUT035,2004,Small,Tier 2,Supermarket Type1
FDV46,18.2,Low Fat,0.012605492,Snack Foods,137.818,OUT035,2004,Small,Tier 2,Supermarket Type1
NCP29,8.42,Low Fat,0.112498699,Health and Hygiene,628.168,OUT045,2002,,Tier 2,Supermarket Type1
FDE09,8.775,Low Fat,0.021691386,Fruits and Vegetables,1.105.228,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCU06,,Low Fat,0.074046742,Household,229.801,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDT19,7.59,Regular,0.242768664,Fruits and Vegetables,173.708,OUT010,1998,,Tier 3,Grocery Store
DRF15,18.35,Low Fat,0.033401862,Dairy,152.234,OUT017,2007,,Tier 2,Supermarket Type1
DRI51,17.25,Low Fat,0.042206477,Dairy,1.702.764,OUT013,1987,High,Tier 3,Supermarket Type1
NCX54,9.195,Low Fat,0.048019877,Household,1.042.622,OUT013,1987,High,Tier 3,Supermarket Type1
DRE01,10.1,Low Fat,0.167016095,Soft Drinks,2.415.512,OUT013,1987,High,Tier 3,Supermarket Type1
NCB07,19.2,Low Fat,0.077664737,Household,195.511,OUT045,2002,,Tier 2,Supermarket Type1
FDU50,5.75,Regular,0.075155997,Dairy,1.141.176,OUT035,2004,Small,Tier 2,Supermarket Type1
FDG40,13.65,Low Fat,0.039816816,Frozen Foods,341.558,OUT035,2004,Small,Tier 2,Supermarket Type1
FDW10,21.2,Low Fat,0.070964186,Snack Foods,175.637,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDX51,9.5,Regular,0.022040367,Meat,1.941.452,OUT013,1987,High,Tier 3,Supermarket Type1
NCP17,19.35,Low Fat,0.027770577,Health and Hygiene,631.168,OUT045,2002,,Tier 2,Supermarket Type1
FDP21,7.42,reg,0.025735975,Snack Foods,1.877.872,OUT035,2004,Small,Tier 2,Supermarket Type1
FDL04,19,Low Fat,0.112150406,Frozen Foods,1.052.622,OUT045,2002,,Tier 2,Supermarket Type1
FDV23,11,Low Fat,0.105748691,Breads,1.231.046,OUT013,1987,High,Tier 3,Supermarket Type1
FDF24,15.5,Regular,0.025370468,Baking Goods,811.934,OUT046,1997,Small,Tier 1,Supermarket Type1
FDH56,,Regular,0.063508168,Fruits and Vegetables,1.138.492,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDB51,6.92,Low Fat,0.038513862,Dairy,615.852,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDI58,,Regular,0.070362085,Snack Foods,95.112,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDR20,20,Regular,0.028100349,Fruits and Vegetables,469.744,OUT013,1987,High,Tier 3,Supermarket Type1
FDC51,10.895,Regular,0.009661057,Dairy,122.973,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDB16,,Low Fat,0.044708228,Dairy,862.198,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDE40,15.6,Regular,0.099297902,Dairy,605.194,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCM17,7.93,Low Fat,0.071122419,Health and Hygiene,437.086,OUT035,2004,Small,Tier 2,Supermarket Type1
FDU56,16.85,Low Fat,0,Fruits and Vegetables,1.853.266,OUT035,2004,Small,Tier 2,Supermarket Type1
FDS32,,Regular,0.051920175,Fruits and Vegetables,1.409.838,OUT019,1985,Small,Tier 1,Grocery Store
FDX02,16,Low Fat,0.057148803,Dairy,2.243.404,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDT39,,reg,0.009820129,Meat,1.527.366,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDE35,7.06,Regular,0.044148717,Starchy Foods,569.904,OUT017,2007,,Tier 2,Supermarket Type1
NCI42,,Low Fat,0.018148732,Household,2.101.954,OUT019,1985,Small,Tier 1,Grocery Store
DRL23,18.35,Low Fat,0.015304311,Hard Drinks,1.057.938,OUT046,1997,Small,Tier 1,Supermarket Type1
FDA10,20.35,Low Fat,0.141816013,Snack Foods,1.222.072,OUT046,1997,Small,Tier 1,Supermarket Type1
FDA11,7.75,Low Fat,0.04320284,Baking Goods,956.436,OUT013,1987,High,Tier 3,Supermarket Type1
NCM06,7.475,low fat,0.075727897,Household,1.547.656,OUT046,1997,Small,Tier 1,Supermarket Type1
NCT05,10.895,Low Fat,0.020947887,Health and Hygiene,2.575.672,OUT035,2004,Small,Tier 2,Supermarket Type1
NCQ02,12.6,Low Fat,0.012480591,Household,1.862.556,OUT010,1998,,Tier 3,Grocery Store
NCY06,15.25,Low Fat,0.06127993,Household,1.296.968,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDY56,16.35,Regular,0.062399603,Fruits and Vegetables,2.247.062,OUT035,2004,Small,Tier 2,Supermarket Type1
