Número do Processo/PVL,Interessado,UF,Tipo de interessado,Tipo de operação,Finalidade,Tipo de credor,Credor,Moeda,Valor,Número do Processo/PVL,Código IBGE,Status,Data,Analisado por
17944.001267/2014-71,Fortaleza,CE,Município,Operação Contratual Interna (com garantia da União),PAC - Contrapartida,Instituição Financeira Nacional,Banco do Brasil S/A,Real,52360000,17944.001267/2014-71,2304400,Encaminhado à PGFN com manifestação técnica favorável,3/18/2016,STN
17944.001406/2011-13,Mossoró,RN,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,35822124,17944.001406/2011-13,2408003,Arquivado a pedido,3/7/2016,STN
17944.001223/2015-21,Camaçari,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,27064340,17944.001223/2015-21,2905701,Deferido,3/2/2016,STN
17944.000722/2014-11,Remanso,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,11372548,17944.000722/2014-11,2926004,Arquivado por decurso de prazo,3/2/2016,STN
17944.000725/2014-54,Remanso,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,7786176,17944.000725/2014-54,2926004,Arquivado por decurso de prazo,3/2/2016,STN
17944.000806/2015-35,Riacho de Santana,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5700000,17944.000806/2015-35,2926400,Arquivado por decurso de prazo,3/2/2016,STN
17944.000960/2013-45,Caucaia,CE,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,3000000,17944.000960/2013-45,2303709,Arquivado por decurso de prazo,2/23/2016,STN
17944.001163/2015-47,Piauí,PI,Estado,Operação Contratual Interna,PAC 2 - Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,217000000,17944.001163/2015-47,22,Deferido,2/3/2016,STN
17944.001063/2015-11,Teresina,PI,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,84113000,17944.001063/2015-11,2211001,Deferido,2/3/2016,STN
17944.000203/2015-33,Salvador,BA,Município,Operação Contratual Interna,Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,300000000,17944.000203/2015-33,2927408,Deferido,12/28/2015,STN
17944.000808/2015-24,Barra da Estiva,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1000000,17944.000808/2015-24,2902807,Deferido,12/7/2015,STN
17944.000822/2015-28,Mucuri,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,5700000,17944.000822/2015-28,2922003,Deferido,11/4/2015,STN
17944.000830/2015-74,Catu,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,9942457,17944.000830/2015-74,2907509,Deferido,10/7/2015,STN
17944.000484/2015-24,Formosa do Rio Preto,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1541926,17944.000484/2015-24,2911105,Deferido,10/7/2015,STN
17944.000634/2015-08,Ibirapuã,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1400000,17944.000634/2015-08,2912806,Deferido,10/6/2015,STN
17944.000854/2015-23,Candeias,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,5000000,17944.000854/2015-23,2906501,Deferido,9/28/2015,STN
17944.000853/2015-89,Candeias,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,15000000,17944.000853/2015-89,2906501,Deferido,9/28/2015,STN
17944.000809/2015-79,Sebastião Laranjeiras,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,2000000,17944.000809/2015-79,2930006,Deferido,9/28/2015,STN
17944.000634/2012-57,Sebastião Laranjeiras,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,2000000,17944.000634/2012-57,2930006,Arquivado a pedido,9/25/2015,STN
17944.000639/2015-22,Jeremoabo,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,7000000,17944.000639/2015-22,2918100,Deferido,9/16/2015,STN
17944.000744/2015-61,Carinhanha,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,5828473,17944.000744/2015-61,2907103,Deferido,9/9/2015,STN
17944.000569/2015-11,Dias d'Ávila,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,21000000,17944.000569/2015-11,2910057,Deferido,8/18/2015,STN
17944.000866/2013-96,Abreu e Lima,PE,Município,Operação Contratual Interna,Provias 2012,Instituição Financeira Nacional,Banco do Nordeste do Brasil S/A,Real,3000000,17944.000866/2013-96,2600054,Arquivado por decurso de prazo,8/4/2015,STN
17944.000551/2015-19,Nova Viçosa,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,3500000,17944.000551/2015-19,2923001,Deferido,7/23/2015,STN
17944.000303/2015-60,Riachão do Jacuípe,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,2500000,17944.000303/2015-60,2926301,Deferido,6/17/2015,STN
17944.000830/2014-93,Riachão do Jacuípe,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,400000,17944.000830/2014-93,2926301,Deferido,6/17/2015,STN
17944.000831/2014-38,Riachão do Jacuípe,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,130000,17944.000831/2014-38,2926301,Deferido,6/17/2015,STN
17944.000434/2015-47,Coribe,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1342249,17944.000434/2015-47,2909109,Deferido,6/12/2015,STN
17944.000015/2014-24,Fortaleza,CE,Município,Operação Contratual Interna (com garantia da União),PAC 2 - Mobilidade Grandes Cidades,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,200000000,17944.000015/2014-24,2304400,Arquivado por decurso de prazo,5/14/2015,STN
17944.000128/2015-19,Formosa do Rio Preto,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1500000,17944.000128/2015-19,2911105,Arquivado por decurso de prazo,4/8/2015,STN
17944.001534/2011-67,Itiruçu,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,65000,17944.001534/2011-67,2916906,Deferido,4/8/2015,STN
17944.000298/2015-95,Sátiro Dias,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,3187775,17944.000298/2015-95,2929701,Deferido,4/8/2015,STN
17944.000039/2015-64,Natal,RN,Município,Operação Contratual Interna (com garantia da União),PAC 2 - Mobilidade Grandes Cidades,Instituição Financeira Nacional,Caixa Econômica Federal,Real,35000000,17944.000039/2015-64,2408102,Arquivado por decurso de prazo,3/17/2015,STN
17944.001744/2014-06,Jeremoabo,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,7000000,17944.001744/2014-06,2918100,Arquivado por decurso de prazo,3/12/2015,STN
17944.000243/2015-85,Oliveira dos Brejinhos,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,4000000,17944.000243/2015-85,2923209,Deferido,3/12/2015,STN
17944.001223/2014-41,Arame,MA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3500000,17944.001223/2014-41,2100956,Arquivado por decurso de prazo,2/24/2015,STN
17944.001199/2014-40,Canudos,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,65000,17944.001199/2014-40,2906824,Arquivado por decurso de prazo,2/18/2015,STN
17944.001728/2014-13,Piritiba,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,130000,17944.001728/2014-13,2924801,Arquivado por decurso de prazo,2/18/2015,STN
17944.001730/2014-84,Piritiba,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1000000,17944.001730/2014-84,2924801,Arquivado por decurso de prazo,2/18/2015,STN
17944.001006/2014-51,Afrânio,PE,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1000000,17944.001006/2014-51,2600203,Arquivado por decurso de prazo,2/18/2015,STN
17944.000245/2014-93,Pernambuco,PE,Estado,Operação Contratual Interna,PAC 2 - Mobilidade Grandes Cidades,Instituição Financeira Nacional,Caixa Econômica Federal,Real,446397403,17944.000245/2014-93,26,Arquivado por decurso de prazo,2/13/2015,STN
17944.000873/2014-79,Amarante do Maranhão,MA,Município,Operação Contratual Interna,Provias 2012,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1250000,17944.000873/2014-79,2100600,Arquivado por decurso de prazo,2/12/2015,STN
17944.000274/2014-55,Imperatriz,MA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,48666651,17944.000274/2014-55,2105302,Arquivado por decurso de prazo,2/12/2015,STN
17944.001066/2014-73,Codó,MA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,9103853,17944.001066/2014-73,2103307,Arquivado por decurso de prazo,2/11/2015,STN
17944.001916/2014-33,Teresina,PI,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,35000000,17944.001916/2014-33,2211001,Deferido,1/30/2015,STN
17944.001729/2014-50,Caetité,BA,Município,Operação Contratual Interna,"Aquisição de terrenos, imóveis e/ou construção de instalações",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,6519064,17944.001729/2014-50,2905206,Deferido,1/2/2015,STN
17944.000347/2014-17,Recife,PE,Município,Operação Contratual Interna,PAC 2 - Mobilidade Grandes Cidades,Instituição Financeira Nacional,Caixa Econômica Federal,Real,389000000,17944.000347/2014-17,2611606,Deferido,12/17/2014,STN
17944.000688/2014-84,Recife,PE,Município,Operação Contratual Interna,PAC - Contrapartida,Instituição Financeira Nacional,Caixa Econômica Federal,Real,81583735,17944.000688/2014-84,2611606,Deferido,12/16/2014,STN
17944.000689/2014-29,Recife,PE,Município,Operação Contratual Interna,PAC - Contrapartida,Instituição Financeira Nacional,Caixa Econômica Federal,Real,130756150,17944.000689/2014-29,2611606,Deferido,12/16/2014,STN
17944.001734/2014-62,Livramento de Nossa Senhora,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,5000000,17944.001734/2014-62,2919504,Deferido,12/15/2014,STN
17944.001703/2014-10,Wanderley,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,750000,17944.001703/2014-10,2933455,Deferido,11/19/2014,STN
17944.000198/2014-88,Iguatu,CE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,8188639,17944.000198/2014-88,2305506,Deferido,11/14/2014,STN
17944.000936/2014-97,Esplanada,BA,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1250000,17944.000936/2014-97,2910602,Arquivado por decurso de prazo,10/16/2014,STN
17944.001156/2013-83,Mossoró,RN,Município,Operação Contratual Interna,PAC 2 - Mobilidade Médias Cidades,Instituição Financeira Nacional,Caixa Econômica Federal,Real,39623335,17944.001156/2013-83,2408003,Deferido,10/14/2014,STN
17944.001464/2014-90,Itagibá,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,3500000,17944.001464/2014-90,2915205,Deferido,10/6/2014,STN
17944.000779/2014-10,Caatiba,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,65000,17944.000779/2014-10,2904803,Arquivado por decurso de prazo,10/3/2014,STN
17944.000089/2014-61,Wanderley,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,750000,17944.000089/2014-61,2933455,Arquivado por decurso de prazo,10/3/2014,STN
17944.001439/2014-14,Nova Itarana,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,917346,17944.001439/2014-14,2922805,Deferido,9/29/2014,STN
17944.001299/2013-95,Camaragibe,PE,Município,Operação Contratual Interna,Provias 2012,Instituição Financeira Nacional,Banco do Nordeste do Brasil S/A,Real,3000000,17944.001299/2013-95,2603454,Arquivado por decurso de prazo,9/24/2014,STN
17944.001843/2013-07,Serra Talhada,PE,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Nordeste do Brasil S/A,Real,2890000,17944.001843/2013-07,2613909,Arquivado por decurso de prazo,9/24/2014,STN
17944.001205/2013-88,Mirangaba,BA,Município,Operação Contratual Interna,Provias 2012,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1250000,17944.001205/2013-88,2921401,Arquivado por decurso de prazo,9/15/2014,STN
17944.000421/2013-14,Pernambuco,PE,Estado,Operação Contratual Interna,PAC 2 - Saneamento,Instituição Financeira Nacional,Caixa Econômica Federal,Real,94824707,17944.000421/2013-14,26,Arquivado por decurso de prazo,9/11/2014,STN
17944.001520/2013-13,Bonito,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,700000,17944.001520/2013-13,2904050,Arquivado por decurso de prazo,9/8/2014,STN
17944.001539/2013-51,Bonito,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,300000,17944.001539/2013-51,2904050,Arquivado por decurso de prazo,9/8/2014,STN
17944.001311/2014-42,Lauro de Freitas,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,16959676,17944.001311/2014-42,2919207,Deferido,9/5/2014,STN
17944.001194/2013-36,Ibimirim,PE,Município,Operação Contratual Interna,Provias 2012,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1250000,17944.001194/2013-36,2606606,Arquivado por decurso de prazo,9/5/2014,STN
17944.000721/2012-12,Venturosa,PE,Município,Operação Contratual Interna,Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1330000,17944.000721/2012-12,2616001,Arquivado por decurso de prazo,9/1/2014,STN
17944.001168/2014-99,Ceará,CE,Estado,Operação Contratual Interna (com garantia da União),PAC 2 - Mobilidade Grandes Cidades,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,1000000000,17944.001168/2014-99,23,Encaminhado à PGFN com manifestação técnica favorável,8/25/2014,STN
17944.000862/2014-99,Presidente Jânio Quadros,BA,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,327756,17944.000862/2014-99,2925709,Deferido,8/18/2014,STN
17944.001045/2014-58,Teresina,PI,Município,Operação Contratual Interna,PAC - Contrapartida,Instituição Financeira Nacional,Caixa Econômica Federal,Real,64885379,17944.001045/2014-58,2211001,Deferido,8/13/2014,STN
17944.000420/2014-42,Patos,PB,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,14405604,17944.000420/2014-42,2510808,Deferido,8/11/2014,STN
17944.001167/2014-44,Ceará,CE,Estado,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,189993774,17944.001167/2014-44,23,Deferido,8/8/2014,STN
17944.000548/2014-14,Petrolina,PE,Município,Operação Contratual Interna,PAC 2 - Mobilidade Médias Cidades,Instituição Financeira Nacional,Caixa Econômica Federal,Real,83087793,17944.000548/2014-14,2611101,Deferido,8/8/2014,STN
17944.000549/2014-51,Petrolina,PE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,28136317,17944.000549/2014-51,2611101,Deferido,8/5/2014,STN
17944.000777/2014-21,Camaçari,BA,Município,Operação Contratual Interna,PAC - Contrapartida,Instituição Financeira Nacional,Caixa Econômica Federal,Real,15553250,17944.000777/2014-21,2905701,Deferido,8/4/2014,STN
17944.000961/2013-90,Caucaia,CE,Município,Operação Contratual Interna,PAC 2 - Mobilidade Médias Cidades,Instituição Financeira Nacional,Caixa Econômica Federal,Real,150000000,17944.000961/2013-90,2303709,Deferido,8/4/2014,STN
17944.000794/2014-68,Sobral,CE,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,2300000,17944.000794/2014-68,2312908,Deferido,7/18/2014,STN
17944.000853/2014-06,Bahia,BA,Estado,Operação Contratual Externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Banco Internacional para Reconstrução e Desenvolvimento,Dólar dos EUA,400000000,17944.000853/2014-06,29,Encaminhado à PGFN com manifestação técnica favorável,7/16/2014,STN
17944.001852/2013-90,Ceará,CE,Estado,Operação Contratual Interna (com garantia da União),PAC - Contrapartida,Instituição Financeira Nacional,Banco do Brasil S/A,Real,68253400,17944.001852/2013-90,23,Encaminhado à PGFN com manifestação técnica favorável,7/10/2014,STN
17944.000396/2014-41,Sergipe,SE,Estado,Operação Contratual Interna (com garantia da União),PAC - Minha Casa Minha Vida,Instituição Financeira Nacional,Caixa Econômica Federal,Real,160000000,17944.000396/2014-41,28,Encaminhado à PGFN com manifestação técnica favorável,7/1/2014,STN
17944.000560/2014-11,Sergipe,SE,Estado,Operação Contratual Interna (com garantia da União),Saneamento básico,Instituição Financeira Nacional,Caixa Econômica Federal,Real,36010129,17944.000560/2014-11,28,Encaminhado à PGFN com manifestação técnica favorável,7/1/2014,STN
17944.000568/2014-87,Sergipe,SE,Estado,Operação Contratual Interna (com garantia da União),Saneamento básico,Instituição Financeira Nacional,Caixa Econômica Federal,Real,91133500,17944.000568/2014-87,28,Encaminhado à PGFN com manifestação técnica favorável,7/1/2014,STN
17944.000907/2013-44,Sergipe,SE,Estado,Operação Contratual Interna (com garantia da União),Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,65504283,17944.000907/2013-44,28,Encaminhado à PGFN com manifestação técnica favorável,7/1/2014,STN
17944.000709/2014-61,Nossa Senhora do Socorro,SE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4835263,17944.000709/2014-61,2804805,Deferido,6/25/2014,STN
17944.000723/2014-65,São Desidério,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,14224847,17944.000723/2014-65,2928901,Deferido,6/4/2014,STN
17944.000744/2014-81,João Pessoa,PB,Município,Operação Contratual Interna,PAC 2 - Mobilidade Grandes Cidades,Instituição Financeira Nacional,Caixa Econômica Federal,Real,59000000,17944.000744/2014-81,2507507,Deferido,6/2/2014,STN
17944.001705/2013-10,Crato,CE,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,3000000,17944.001705/2013-10,2304202,Arquivado por decurso de prazo,5/30/2014,STN
17944.000206/2014-96,Recife,PE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,54569543,17944.000206/2014-96,2611606,Deferido,5/30/2014,STN
17944.000207/2014-31,Recife,PE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3364422,17944.000207/2014-31,2611606,Deferido,5/30/2014,STN
17944.000208/2014-85,Recife,PE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3000721,17944.000208/2014-85,2611606,Deferido,5/30/2014,STN
17944.000209/2014-20,Recife,PE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5340355,17944.000209/2014-20,2611606,Deferido,5/30/2014,STN
17944.000210/2014-54,Recife,PE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3078784,17944.000210/2014-54,2611606,Deferido,5/30/2014,STN
17944.000485/2014-98,Recife,PE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,99874205,17944.000485/2014-98,2611606,Deferido,5/30/2014,STN
17944.000418/2014-73,João Pessoa,PB,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,6250000,17944.000418/2014-73,2507507,Deferido,5/20/2014,STN
17944.000237/2010-13,Recife,PE,Município,Operação Contratual Externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Banco Interamericano de Desenvolvimento,Dólar dos EUA,20015000,17944.000237/2010-13,2611606,Arquivado a pedido,5/19/2014,STN
17944.000291/2014-92,Barra,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4472512,17944.000291/2014-92,2902708,Deferido,5/15/2014,STN
17944.001979/2013-17,Irará,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3001825,17944.001979/2013-17,2914505,Deferido,5/15/2014,STN
17944.001980/2013-33,Irará,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2853417,17944.001980/2013-33,2914505,Deferido,5/15/2014,STN
17944.001781/2013-25,Mauriti,CE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5239868,17944.001781/2013-25,2308104,Deferido,5/7/2014,STN
17944.000388/2014-03,Riacho de Santana,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5700000,17944.000388/2014-03,2926400,Deferido,5/6/2014,STN
17944.000122/2014-52,Barbalha,CE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3126568,17944.000122/2014-52,2301901,Deferido,5/5/2014,STN
00000.000000/0113-43,Codó,MA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,9103853,00000.000000/0113-43,2103307,Devolvido,5/2/2014,STN
17944.001914/2013-63,Cabo de Santo Agostinho,PE,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3000000,17944.001914/2013-63,2602902,Deferido,5/2/2014,STN
17944.000370/2014-01,Ibotirama,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,9028776,17944.000370/2014-01,2913200,Deferido,4/30/2014,STN
17944.000497/2014-12,Jaguarari,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,130000,17944.000497/2014-12,2917706,Deferido,4/30/2014,STN
17944.001481/2012-65,Paraíba,PB,Estado,Operação Contratual Interna (com garantia da União),PAC - Contrapartida,Instituição Financeira Nacional,Caixa Econômica Federal,Real,211570366,17944.001481/2012-65,25,Encaminhado à PGFN com manifestação técnica favorável,4/22/2014,STN
00000.000000/0111-85,Remanso,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,11372548,00000.000000/0111-85,2926004,Devolvido,4/7/2014,STN
00000.000000/0111-86,Remanso,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,7786176,00000.000000/0111-86,2926004,Devolvido,4/7/2014,STN
00000.000000/0111-82,Santo Amaro,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4948000,00000.000000/0111-82,2928604,Devolvido,4/3/2014,STN
00000.000000/0111-83,Santo Amaro,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3134000,00000.000000/0111-83,2928604,Devolvido,4/3/2014,STN
00000.000000/0111-22,Petrolina,PE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,28136317,00000.000000/0111-22,2611101,Devolvido,3/28/2014,STN
00000.000000/0111-23,Petrolina,PE,Município,Operação Contratual Interna,PAC 2 - Mobilidade Médias Cidades,Instituição Financeira Nacional,Caixa Econômica Federal,Real,83087793,00000.000000/0111-23,2611101,Devolvido,3/28/2014,STN
00000.000000/0111-11,São Desidério,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,14224847,00000.000000/0111-11,2928901,Devolvido,3/26/2014,STN
