E/S,CONTA,SUB-CONTA,CLIENTE/FORNECEDOR,DOCUMENTO,OBSERVAÇÃO,VALOR,VENCIMENTO,PAGAMENTO,STATUS,VALOR PAGO
SAÍDA,3400 Impostos e Taxas,3440 GTA,Marquesan,-,144 Cabeças,583.20,10/1/2021,10/1/2021,PAGO,583.20
SAÍDA,2500 Cultura de Sorgo,2510 Adubo e fertilizantes,Valloura,-,Parcela 2/3,50000.00,10/1/2021,10/1/2021,PAGO,50000.00
SAÍDA,3200 Serviços Prestados,3250 Empreiteiros / Pedreiros,Isaias Teixeira Faustino,-,?,30000.00,10/1/2021,10/1/2021,PAGO,30000.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF's 100623 e 624,Parcela 1/3,796.00,9/30/2021,10/1/2021,PAGO,796.00
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2910 Serviços terceirizados,Iguaçu Máquinas,OS 17632 - NF 1715,Única,5348.00,9/30/2021,,EM ABERTO,
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2905 Peças de Reposição,Iguaçu Máquinas,OS 17632 - NF 214740,Única,7853.45,9/30/2021,,EM ABERTO,
SAÍDA,3200 Serviços Prestados,3250 Empreiteiros / Pedreiros,Franciele Oliveira Campos,-,Curral Serra Formosa,7000.00,9/30/2021,9/30/2021,PAGO,7000.00
SAÍDA,2400 Suplementação,2410 Concentrados,Bruno Melcher,NF 872,Milho Serra Formosa R$ 75/sc,33750.00,9/30/2021,9/30/2021,PAGO,33750.00
SAÍDA,2400 Suplementação,2410 Concentrados,Bruno Melcher,NF 873,Milho Serra Formosa R$ 75/sc,8800.00,9/30/2021,9/30/2021,PAGO,8800.00
SAÍDA,2700 Aquisição de Animais,2715 Compra de animais para engorda,Estância Nogueira Leilões (31/08/21),Lote 03,Única,95000.00,9/30/2021,9/30/2021,PAGO,95000.00
SAÍDA,2100 Comerciais,2110 Comissões,Estância Nogueira Leilões (31/08/21),Lote 03,-,3325.00,9/30/2021,9/30/2021,PAGO,3325.00
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3025 Serviços terceirizados,Galeão Pneus,NF 3717,Parcela 1/4,465.00,9/30/2021,10/13/2021,PAGO,477.09
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3025 Serviços terceirizados,Automotiva Pneus e Acessorios,NF 6320,Parcela 1/4,240.00,9/30/2021,10/13/2021,PAGO,246.24
ENTRADA,1000 Recebido de Clientes por Nelore,1010 Transferência,Marco Tulio Pires Franco e Outros,Lotes V017 e I002,Parcela 3/3,,9/29/2021,9/29/2021,RECEBIDO,92460.00
SAÍDA,2400 Suplementação,2410 Concentrados,Giovani Fritsch,NF 330,Milho Serra Formosa R$ 79/sc,43450.01,9/29/2021,9/29/2021,PAGO,43450.01
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Centroaço,-,Entrada Cobertura Curral Serra Formosa,8000.00,9/29/2021,9/29/2021,PAGO,8000.00
SAÍDA,2400 Suplementação,2420 Volumosos,Maria Luciana Santos Silva,-,35 Fardos de Feno - Vista Formosa,7000.00,9/29/2021,9/29/2021,PAGO,7000.00
SAÍDA,3200 Serviços Prestados,3220 Transporte e operações mecanizadas,Flavio Moraes Marques de Oliveira,-,97 Bezerros,11973.00,9/29/2021,9/29/2021,PAGO,11973.00
SAÍDA,3200 Serviços Prestados,3220 Transporte e operações mecanizadas,Flavio Moraes Marques de Oliveira,-,58 Bezerros,12820.00,9/29/2021,9/29/2021,PAGO,12820.00
SAÍDA,2700 Aquisição de Animais,2720 Compra de animais utilitários,Estância Bahia Leilões,Lote 43 - Leilão Martelo,Parcela 5/6,2480.00,9/28/2021,9/28/2021,PAGO,2480.00
SAÍDA,2700 Aquisição de Animais,2720 Compra de animais utilitários,Estância Bahia Leilões,Lote 52 - Leilão Martelo,Parcela 5/6,1100.00,9/28/2021,9/28/2021,PAGO,1100.00
SAÍDA,2700 Aquisição de Animais,2720 Compra de animais utilitários,Estância Bahia Leilões,Lote 34 - Leilão Martelo,Parcela 5/6,2880.00,9/28/2021,9/28/2021,PAGO,2880.00
SAÍDA,2500 Cultura de Sorgo,2599 Diversos,Alvorada,NF 3269,Parcela 5/6,4000.00,9/28/2021,9/28/2021,PAGO,4000.00
SAÍDA,2000 Administrativas,2020 Internet / TV,Plugmais,NF 174072,Parcela 3/5,4429.15,9/28/2021,9/28/2021,PAGO,4429.15
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3005 Combustível e lubrificante,Ecodiesel,-,Única,9530.00,9/28/2021,9/28/2021,PAGO,9530.00
SAÍDA,3200 Serviços Prestados,3250 Empreiteiros / Pedreiros,Valdeci Gibin,-,Cochos Semi Confinamento Serra Formosa,6000.00,9/28/2021,9/28/2021,PAGO,6000.00
SAÍDA,3100 Pessoal e Encargos Sociais,3115 Rescisões,Marcos Almeida da Silva,-,Multa Rescisão,7951.99,9/28/2021,9/28/2021,PAGO,7951.99
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,LF Leilões (26/08/21),Lote 38,Parcela 1/4,21525.00,9/27/2021,9/27/2021,PAGO,21525.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF 48452,Parcela 4/4,4156.80,9/27/2021,9/27/2021,PAGO,4156.80
SAÍDA,2400 Suplementação,2405 Suplementação Mineral,Real H - Núcleo de Engorda,NF 19736,Parcela 3/4,13377.46,9/27/2021,9/27/2021,PAGO,13377.46
SAÍDA,2400 Suplementação,2405 Suplementação Mineral,Real H - Núcleo de Engorda,NF 19737,Parcela 3/4,13511.01,9/27/2021,9/27/2021,PAGO,13511.01
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3005 Combustível e lubrificante,Ecodiesel,-,Vista Formosa,9576.00,9/27/2021,9/27/2021,PAGO,9576.00
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Iguaçu Máquinas,Pedido 7944329,Parcela 1/8,32500.00,9/27/2021,9/27/2021,PAGO,32500.00
SAÍDA,2400 Suplementação,2410 Concentrados,Bruno Melcher,-,Milho Serra Formosa,43800.00,9/27/2021,9/27/2021,PAGO,43800.00
SAÍDA,2400 Suplementação,2410 Concentrados,Mana Cereais,-,Casquinha de Soja Serra Formosa (Complemento Carga),3855.50,9/27/2021,9/27/2021,PAGO,3855.50
SAÍDA,2400 Suplementação,2410 Concentrados,Bruno Melcher,NF 868,Milho Serra Formosa R$ 75/sc,42450.00,9/27/2021,9/27/2021,PAGO,42450.00
SAÍDA,2400 Suplementação,2410 Concentrados,Bruno Melcher,-,Milho Serra Formosa,86250.00,9/27/2021,9/27/2021,PAGO,86250.00
SAÍDA,3400 Impostos e Taxas,3405 ICMS,SEFAZ MT DAR,NF 755315,Diferença ICMS Balança Rodoviária,2550.00,9/27/2021,9/27/2021,PAGO,2550.00
SAÍDA,3600 Saídas Diversas,3699 Diversos,Unimaq,-,-,2582.74,9/27/2021,9/27/2021,PAGO,2582.74
SAÍDA,2000 Administrativas,2020 Internet / TV,Breda Telecomunicações,-,-,550.00,9/27/2021,9/27/2021,PAGO,550.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Compre Bem - Odagir Schnorr,NF 2936,Parcela 1/2,2976.64,9/26/2021,9/27/2021,PAGO,2976.64
SAÍDA,2300 Manejo Sanitário e Reprodutivo,2325 Insumos para reprodução animal,Semex Brasil,NF 153963,Parcela 7/9,1462.22,9/26/2021,9/27/2021,PAGO,1462.22
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,John Deere,Pedido 08205975,Parcela 1/6,30943.38,9/25/2021,9/27/2021,PAGO,30943.38
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3005 Combustível e lubrificante,Posto Bom Fim Ltda,-,-,1510.47,9/25/2021,9/25/2021,PAGO,1510.47
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2999 Diversos,Plugmais,-,Parcela 2/2,922.00,9/25/2021,9/27/2021,PAGO,922.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 32204,Parcela 3/3,741.65,9/25/2021,9/27/2021,PAGO,741.65
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 32325,Parcela 2/3,386.14,9/25/2021,9/27/2021,PAGO,386.14
SAÍDA,3200 Serviços Prestados,3299 Diversos,Gualberto Sena da Silva,-,Frete Mudança Lucian (Saída Vista Formosa),1500.00,9/24/2021,9/24/2021,PAGO,1500.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,"NF's 100869, 70, 71 e 79",Parcela 1/4,670.00,9/24/2021,9/24/2021,PAGO,670.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF 99666 e 99665,Parcela 2/3,1745.00,9/24/2021,9/24/2021,PAGO,1745.00
SAÍDA,3100 Pessoal e Encargos Sociais,3115 Rescisões,Lucian Pereira,-,-,5278.01,9/24/2021,9/24/2021,PAGO,5278.01
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Monte Castelo Materiais para Construção,NF 67363,Parcela 1/4,2287.41,9/24/2021,9/24/2021,PAGO,2287.41
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3005 Combustível e lubrificante,Ecodiesel,NF 19025,Formosa,9530.00,9/24/2021,9/24/2021,PAGO,9530.00
SAÍDA,2700 Aquisição de Animais,2715 Compra de animais para engorda,LF Leilões,Lote 39,Única,45450.00,9/24/2021,9/24/2021,PAGO,45450.00
SAÍDA,2700 Aquisição de Animais,2715 Compra de animais para engorda,LF Leilões,Lote 40,Única,30624.00,9/24/2021,9/24/2021,PAGO,30624.00
SAÍDA,2100 Comerciais,2110 Comissões,LF Leilões,Lote 39,-,1590.75,9/24/2021,9/24/2021,PAGO,1590.75
SAÍDA,2100 Comerciais,2110 Comissões,LF Leilões,Lote 40,-,1071.84,9/24/2021,9/24/2021,PAGO,1071.84
SAÍDA,2400 Suplementação,2410 Concentrados,Mana Cereais,-,Casquinha de Soja Serra Formosa,40500.00,9/24/2021,9/24/2021,PAGO,40500.00
SAÍDA,2400 Suplementação,2415 Transporte e operações mecanizadas,Valdameri e Valdameri,-,"10 Fretes Milho, 2 Casquinha de Soja e 2 Caroço de Algodão",27100.00,9/24/2021,9/24/2021,PAGO,27100.00
SAÍDA,2000 Administrativas,2015 Luz,Energisa,-,"a, e, f, g",1214.46,9/23/2021,9/21/2021,PAGO,1214.46
ENTRADA,1000 Recebido de Clientes por Nelore,1010 Transferência,João Luiz Arruda Ticianel,Lote 03,Parcela 3/3,,9/23/2021,9/23/2021,RECEBIDO,72800.00
ENTRADA,1000 Recebido de Clientes por Nelore,1005 Cheque,Pâmela Ortolan dos Santos,Lote I009,Parcela 3/4,,9/23/2021,9/23/2021,RECEBIDO,56400.00
SAÍDA,2700 Aquisição de Animais,2715 Compra de animais para engorda,Estância Nogueira Leilões (24/08/21),Lote N10,Única,40240.00,9/23/2021,9/23/2021,PAGO,40240.00
SAÍDA,2700 Aquisição de Animais,2715 Compra de animais para engorda,Estância Nogueira Leilões (24/08/21),Lote N40,Única,76240.00,9/23/2021,9/23/2021,PAGO,76240.00
SAÍDA,2700 Aquisição de Animais,2735 Transporte e operações mecanizadas,Estância Nogueira Leilões (24/08/21),Lotes N40 e N10,-,2300.00,9/23/2021,9/23/2021,PAGO,2300.00
SAÍDA,2100 Comerciais,2110 Comissões,Estância Nogueira Leilões (24/08/21),Lotes N40 e N10,-,4076.80,9/23/2021,9/23/2021,PAGO,4076.80
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3025 Serviços terceirizados,Rondocape Recapagem Agricola Ltda,NF 331,Parcela 1/2,2100.00,9/23/2021,9/23/2021,PAGO,2100.00
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,Estância Bahia Leilões (25/07),Lote V004,Parcela 3/3,77520.00,9/23/2021,9/23/2021,PAGO,77520.00
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,Estância Bahia Leilões (18/09),Lote V011,Parcela 1/4,25400.00,9/23/2021,9/23/2021,PAGO,25400.00
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,Estância Bahia Leilões (18/09),Lote P005,Parcela 1/4,16200.00,9/23/2021,9/23/2021,PAGO,16200.00
SAÍDA,2400 Suplementação,2405 Suplementação Mineral,Real H - Núcleo de Engorda,NF 19868,Parcela 3/4,45182.49,9/23/2021,9/23/2021,PAGO,45182.49
SAÍDA,3200 Serviços Prestados,3250 Empreiteiros / Pedreiros,Labareda,-,Aterro Serra Formosa,18000.00,9/23/2021,9/23/2021,PAGO,18000.00
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2905 Peças de Reposição,Podium Comercio Autopeças Ltda,-,Parcela 1/3,933.34,9/23/2021,9/23/2021,PAGO,933.34
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF's 98962 e 959,Parcela 3/3,566.67,9/23/2021,9/23/2021,PAGO,566.67
SAÍDA,2700 Aquisição de Animais,2735 Transporte e operações mecanizadas,Estância Nogueira Leilões (06/07/21),Lote 84,5 Truck e 1 Carreta,8500.00,9/22/2021,9/22/2021,PAGO,8500.00
SAÍDA,2100 Comerciais,2110 Comissões,Estância Nogueira Leilões (06/07/21),Lote 84,-,14700.00,9/22/2021,9/22/2021,PAGO,14700.00
SAÍDA,3400 Impostos e Taxas,3415 Inpec,Instituto Pecuária de Corte,-,Transferência Gado MT para MS,423.64,9/22/2021,9/22/2021,PAGO,423.64
SAÍDA,3400 Impostos e Taxas,3440 GTA,-,-,Transferência Gado MT para MS,368.28,9/22/2021,9/22/2021,PAGO,368.28
SAÍDA,3600 Saídas Diversas,3699 Diversos,Cadore Bidoia & Cia Ltda,-,Corrente - Serra Formosa,2850.00,9/22/2021,9/22/2021,PAGO,2850.00
SAÍDA,2800 Manutenção de Imobilizado,2899 Diversos,Agroferragens Luizão,NF 996630,Única,453.66,9/22/2021,9/22/2021,PAGO,453.66
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF 100415,Parcela 1/3,3396.00,9/22/2021,9/22/2021,PAGO,3396.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,"NF's 100439, 41 e 42",Parcela 2/4,995.00,9/22/2021,9/22/2021,PAGO,995.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF's 99657 e 61,Parcela 2/3,4948.00,9/22/2021,9/22/2021,PAGO,4948.00
SAÍDA,2400 Suplementação,2410 Concentrados,Giovani Fritsch,-,Milho Serra Formosa,41730.00,9/22/2021,9/22/2021,PAGO,41730.00
SAÍDA,3400 Impostos e Taxas,3499 Diversos,SEFAZ MT DAR,-,Transporte MT/MS,7735.94,9/22/2021,9/22/2021,PAGO,7735.94
SAÍDA,3200 Serviços Prestados,3220 Transporte e operações mecanizadas,Antonio Santana da Costa,-,Frete - Palanques Vista Formosa,400.00,9/22/2021,9/22/2021,PAGO,400.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Antonio Santana da Costa,-,12 Palanques Curral Vista Formosa,4200.00,9/22/2021,9/22/2021,PAGO,4200.00
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Iguaçu Máquinas,-,Única,38000.00,9/21/2021,9/21/2021,PAGO,38000.00
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Pro Campo Com De Maq e Equip Ltda,-,Parcela 1/4 (Entrada),27000.00,9/21/2021,9/21/2021,PAGO,27000.00
SAÍDA,3200 Serviços Prestados,3299 Diversos,Up Eventos e Acessórios,-,Weslei (Operador de Máquina),750.00,9/21/2021,9/21/2021,PAGO,750.00
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2999 Diversos,Plugmais,-,Parcela 1/2,923.33,9/21/2021,9/21/2021,PAGO,923.33
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Stara Maquinas (Pro Campo),Pedido 3239,Saldo - Parcela 1,13000.00,9/20/2021,9/28/2021,PAGO,13000.00
SAÍDA,2000 Administrativas,2015 Luz,Energisa,-,"b, c, h, i",3094.45,9/20/2021,9/21/2021,PAGO,3094.45
SAÍDA,2000 Administrativas,2020 Internet / TV,Brava Internet,-,Serra Formosa,214.40,9/20/2021,9/20/2021,PAGO,214.40
SAÍDA,3400 Impostos e Taxas,3420 DARF,-,-,Serra Formosa,80.44,9/20/2021,9/20/2021,PAGO,80.44
SAÍDA,3400 Impostos e Taxas,3420 DARF,-,-,Formosa,70.63,9/20/2021,9/20/2021,PAGO,70.63
SAÍDA,3400 Impostos e Taxas,3420 DARF,-,-,Vista Formosa,24.00,9/20/2021,9/20/2021,PAGO,24.00
SAÍDA,3100 Pessoal e Encargos Sociais,3165 INSS,GPS,-,Serra Formosa,1410.37,9/20/2021,9/20/2021,PAGO,1410.37
SAÍDA,3100 Pessoal e Encargos Sociais,3165 INSS,GPS,-,Formosa,798.70,9/20/2021,9/20/2021,PAGO,798.70
SAÍDA,3100 Pessoal e Encargos Sociais,3165 INSS,GPS,-,Vista Formosa,487.89,9/20/2021,9/20/2021,PAGO,487.89
SAÍDA,2000 Administrativas,2040 Supermercado,Fênix Supermercado,Título 6381120,-,3059.26,9/20/2021,9/21/2021,PAGO,3059.26
SAÍDA,2100 Comerciais,2110 Comissões,Programa Leilões (04/09/21),Lote V15,-,2633.40,9/20/2021,,EM ABERTO,
SAÍDA,2100 Comerciais,2110 Comissões,Programa Leilões (04/09/21),Lote V16,-,2394.00,9/20/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 32203,Parcela 2/3,308.41,9/20/2021,9/20/2021,PAGO,308.41
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF's 49080 e 81,Parcela 2/3,1649.00,9/20/2021,9/20/2021,PAGO,1649.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,"NF's 49084, 85 e 90",Parcela 2/3,1588.00,9/20/2021,9/20/2021,PAGO,1588.00
SAÍDA,2700 Aquisição de Animais,2725 Compra de animais reprodutores,GAP Touros,6 Touros Brangus,Parcela 17/18,3180.00,9/20/2021,9/20/2021,PAGO,3180.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 31680,Parcela 3/3,1172.65,9/20/2021,9/20/2021,PAGO,1172.65
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2910 Serviços terceirizados,Iguaçu Máquinas,NF 173609,Parcela 2/3,2052.59,9/20/2021,9/20/2021,PAGO,2052.59
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2910 Serviços terceirizados,Iguaçu Máquinas,NF 183654,Parcela 2/3,144.10,9/20/2021,9/20/2021,PAGO,144.10
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2905 Peças de Reposição,Jacto Agrícola,NF 4568,Parcela 1/2,4108.19,9/20/2021,9/20/2021,PAGO,4108.19
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 33085,Única,3350.00,9/20/2021,9/20/2021,PAGO,3350.00
SAÍDA,3100 Pessoal e Encargos Sociais,3170 FGTS,Lucian,-,Multa Rescisão,1196.99,9/20/2021,9/20/2021,PAGO,1196.99
SAÍDA,3100 Pessoal e Encargos Sociais,3170 FGTS,Marcos Almeida da Silva,-,Multa Rescisão,7161.08,9/20/2021,9/20/2021,PAGO,7161.08
SAÍDA,2100 Comerciais,2110 Comissões,Programa Leilões (12/09/21),-,"Leiloeiro Paulo Brasil (0,5%)",5065.13,9/20/2021,9/20/2021,PAGO,5065.13
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,"NF's 377, 399, 400",Parcela 2/4,9975.00,9/19/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 33085,Única,3350.00,9/19/2021,9/16/2021,PAGO,3350.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,"NF's 100377, 399, 400",Parcela 2/4,1575.00,9/19/2021,9/20/2021,PAGO,1575.00
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2905 Peças de Reposição,GD Comércio Varejista de Peças,NF 45938,Única,129.00,9/17/2021,9/17/2021,PAGO,129.00
SAÍDA,3100 Pessoal e Encargos Sociais,3115 Rescisões,João Vitor,-,-,5511.78,9/17/2021,9/17/2021,PAGO,5511.78
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Compre Bem - Odagir Schnorr,-,Única,2664.44,9/17/2021,9/17/2021,PAGO,2664.44
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3010 Consórcios,John Deere,Grupo 1612 Cota 253,,3882.53,9/17/2021,9/17/2021,PAGO,3882.53
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3010 Consórcios,John Deere,Grupo 1612 Cota 147-1,,3882.32,9/17/2021,9/17/2021,PAGO,3882.32
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3010 Consórcios,John Deere,Grupo 1612 Cota 146-1,,3882.32,9/17/2021,9/17/2021,PAGO,3882.32
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3010 Consórcios,John Deere,Grupo 1612 Cota 145-1,,3882.32,9/17/2021,9/17/2021,PAGO,3882.32
SAÍDA,3200 Serviços Prestados,3220 Transporte e operações mecanizadas,Rosin Transportes,-,Frete Móveis MS para MT,1000.00,9/17/2021,9/17/2021,PAGO,1000.00
SAÍDA,3200 Serviços Prestados,3220 Transporte e operações mecanizadas,José Maria Barcelos,-,Frete Móveis MS para MT,3400.00,9/17/2021,9/17/2021,PAGO,3400.00
SAÍDA,2300 Manejo Sanitário e Reprodutivo,2335 Medicamento em Geral,Casa do Criador,NF 130027,Parcela 3/5,1386.00,9/17/2021,9/17/2021,PAGO,1386.00
SAÍDA,2700 Aquisição de Animais,2735 Transporte e operações mecanizadas,Realiza Transportes Eireli,Minuta 0062,27 Bezerros - Serra Formosa,1800.00,9/17/2021,9/17/2021,PAGO,1800.00
SAÍDA,2700 Aquisição de Animais,2735 Transporte e operações mecanizadas,Realiza Transportes Eireli,Minuta 0075,47 Bezerros - Serra Formosa,1380.00,9/17/2021,9/17/2021,PAGO,1380.00
SAÍDA,2700 Aquisição de Animais,2735 Transporte e operações mecanizadas,Realiza Transportes Eireli,Minuta 0074,48 Bezerros - Serra Formosa,1380.00,9/17/2021,9/17/2021,PAGO,1380.00
SAÍDA,2700 Aquisição de Animais,2735 Transporte e operações mecanizadas,Realiza Transportes Eireli,Minuta 0073,47 Bezerros - Serra Formosa,1380.00,9/17/2021,9/17/2021,PAGO,1380.00
SAÍDA,2700 Aquisição de Animais,2735 Transporte e operações mecanizadas,Realiza Transportes Eireli,Minuta 0088,24 Bezerros - Serra Formosa,2676.00,9/17/2021,9/17/2021,PAGO,2676.00
SAÍDA,2700 Aquisição de Animais,2735 Transporte e operações mecanizadas,Realiza Transportes Eireli,Minuta 0087,30 Bezerros - Serra Formosa,1690.00,9/17/2021,9/17/2021,PAGO,1690.00
SAÍDA,2700 Aquisição de Animais,2735 Transporte e operações mecanizadas,Realiza Transportes Eireli,Minuta 0082,46 Bezerros - Serra Formosa,1380.00,9/17/2021,9/17/2021,PAGO,1380.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 33026,Única,1725.00,9/16/2021,,EM ABERTO,
SAÍDA,2400 Suplementação,2410 Concentrados,Mana Cereais,-,Casquinha de Soja Serra Formosa,40687.00,9/16/2021,9/16/2021,PAGO,40687.00
SAÍDA,2000 Administrativas,2020 Internet / TV,Hughesnet,-,Vista Formosa,259.30,9/16/2021,9/16/2021,PAGO,259.30
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF 48211,Parcela 3/3,4668.00,9/16/2021,9/16/2021,PAGO,4668.00
SAÍDA,3500 Despesas Patrimoniais,3510 Compra de Imobilizado,Marcio Gugelmin,-,-,20000.00,9/16/2021,9/16/2021,PAGO,20000.00
SAÍDA,2100 Comerciais,2110 Comissões,Programa Leilões (04/09/21),Lote L25,-,18084.00,9/15/2021,,EM ABERTO,
SAÍDA,2100 Comerciais,2110 Comissões,Programa Leilões (04/09/21),Lote L26,-,6840.00,9/15/2021,,EM ABERTO,
SAÍDA,2100 Comerciais,2110 Comissões,Programa Leilões (04/09/21),Lote V17,-,3192.00,9/15/2021,,EM ABERTO,
SAÍDA,2100 Comerciais,2110 Comissões,Programa Leilões (04/09/21),Lote L05,-,7377.60,9/15/2021,,EM ABERTO,
SAÍDA,2400 Suplementação,2410 Concentrados,Coopergraos,-,Milho Serra Formosa,45815.00,9/15/2021,9/15/2021,PAGO,45815.00
SAÍDA,3200 Serviços Prestados,3220 Transporte e operações mecanizadas,Medeiros Log Transportes,-,Transporte animais MT para MS (Usina),23646.96,9/15/2021,9/15/2021,PAGO,23646.96
SAÍDA,2300 Manejo Sanitário e Reprodutivo,2335 Medicamento em Geral,Casa do Criador,NF 729841,Parcela 3/5,3514.00,9/15/2021,9/15/2021,PAGO,3514.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF 100221 e 100248,Parcela 2/4,740.00,9/15/2021,9/15/2021,PAGO,740.00
SAÍDA,2000 Administrativas,2020 Internet / TV,Breda Telecomunicações,NF 160,Parcela 3/4,3605.00,9/15/2021,9/15/2021,PAGO,3605.00
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3010 Consórcios,John Deere,Grupo 2067 Cota 270,Parcela 21/80,1722.23,9/15/2021,,EM ABERTO,
SAÍDA,2400 Suplementação,2410 Concentrados,Cooperbem,-,Caroço de Algodão - Serra Formosa,38160.00,9/14/2021,9/14/2021,PAGO,38160.00
SAÍDA,2700 Aquisição de Animais,2720 Compra de animais utilitários,Estância Bahia Leilões,Leilão Martelo,Parcela 7/15,700.00,9/14/2021,9/14/2021,PAGO,700.00
SAÍDA,2800 Manutenção de Imobilizado,2899 Diversos,Agroferragens Luizão,NF 982053,Parcela 3/3,356.47,9/14/2021,9/14/2021,PAGO,356.47
SAÍDA,3200 Serviços Prestados,3250 Empreiteiros / Pedreiros,Delma AMB Construtora,-,Parcela 2/2,20000.00,9/14/2021,9/14/2021,PAGO,20000.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Rodrigo Barbieri Facco,-,Parcela 2/3,18700.00,9/14/2021,9/14/2021,PAGO,18700.00
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2910 Serviços terceirizados,Moto Raca,-,Manutenção Quadriciclo Serra Formosa,2700.00,9/14/2021,9/14/2021,PAGO,2700.00
SAÍDA,3200 Serviços Prestados,3220 Transporte e operações mecanizadas,Edmilson de Matos,-,Fretes Diversos,2890.00,9/14/2021,9/14/2021,PAGO,2890.00
SAÍDA,3100 Pessoal e Encargos Sociais,3130 Exames Médicos,EH Gollub Machado,-,Exame Toxicológico Operadores Aparecido e Leonardo,280.00,9/14/2021,9/14/2021,PAGO,280.00
SAÍDA,3100 Pessoal e Encargos Sociais,3130 Exames Médicos,EH Gollub Machado,-,Exame Admissional Operadores Aparecido e Leonardo,265.00,9/14/2021,9/14/2021,PAGO,265.00
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2905 Peças de Reposição,Adinei Rodrigues dos Santos,-,Funilaria Quadriciclo Serra Formosa,300.00,9/14/2021,9/14/2021,PAGO,300.00
