REGI√O,ESTADO,DESTINAT¡RIO,ORIGEM,FORNECEDOR,MEDICAMENTO,APRESENTA«√O,QUANTIDADE,PEDIDO SISMAT,STATUS,DATA DE ENTREGA
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,1700,324116,Entrega realizada,8/6/2020
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,6050,324118,Entrega realizada,8/7/2020
NORTE,PAR¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,4550,324120,Entrega realizada,8/5/2020
NORDESTE,PARAÕBA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,5350,324121,Entrega realizada,8/5/2020
NORDESTE,PERNAMBUCO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,9500,324122,Entrega realizada,8/6/2020
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA,MERCK,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,3300,324124,Entrega realizada,8/3/2020
SUL,PARAN¡,SES,REQUISI«√O ADMINISTRATIVA,MERCK,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,31700,324125,Entrega realizada,8/4/2020
SUDESTE,RIO DE JANEIRO,SES,REQUISI«√O ADMINISTRATIVA,MERCK,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,37400,324126,Entrega realizada,8/4/2020
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA,MERCK,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,13900,324127,Entrega realizada,8/6/2020
NORTE,ROND‘NIA,SES,REQUISI«√O ADMINISTRATIVA,MERCK,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,1250,324128,Entrega realizada,8/7/2020
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,1300,324130,Entrega realizada,8/5/2020
SUL,RIO GRANDE DO SUL,SES,REQUISI«√O ADMINISTRATIVA,MERCK,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,12200,324132,Entrega realizada,8/6/2020
SUL,SANTA CATARINA,SES,REQUISI«√O ADMINISTRATIVA,MERCK,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,23400,324133,Entrega realizada,8/5/2020
NORDESTE,SERGIPE,SES,REQUISI«√O ADMINISTRATIVA,MERCK,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,5400,324135,Entrega realizada,8/5/2020
SUDESTE,S√O PAULO,SES,REQUISI«√O ADMINISTRATIVA,MERCK,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,72250,324136,Entrega realizada,8/4/2020
NORTE,TOCANTINS,SES,REQUISI«√O ADMINISTRATIVA,MERCK,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,5750,324137,Entrega realizada,8/7/2020
NORTE,ACRE,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",50,324099,Entrega realizada,8/6/2020
NORDESTE,ALAGOAS,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",975,324101,Entrega realizada,8/5/2020
NORTE,AMAZONAS,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",1025,324103,Entrega realizada,8/4/2020
NORTE,AMAP¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",1775,324104,Entrega realizada,8/6/2020
NORDESTE,BAHIA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",6025,324105,Entrega realizada,8/4/2020
NORDESTE,CEAR¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",23225,324106,Entrega realizada,8/5/2020
CENTRO-OESTE,DISTRITO FEDERAL,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",5250,324108,Entrega realizada,8/6/2020
SUDESTE,ESPÕRITO SANTO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",3175,324110,Entrega realizada,8/4/2020
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",8475,324111,Entrega realizada,8/6/2020
NORDESTE,MARANH√O,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",1675,324113,Entrega realizada,8/4/2020
SUDESTE,MINAS GERAIS,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",4950,324114,Entrega realizada,8/5/2020
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",2325,324116,Entrega realizada,8/6/2020
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",4675,324118,Entrega realizada,8/7/2020
NORTE,PAR¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",49150,324120,Entrega realizada,8/5/2020
NORDESTE,PARAÕBA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",500,324121,Entrega realizada,8/5/2020
NORDESTE,PERNAMBUCO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",4600,324122,Entrega realizada,8/6/2020
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",12150,324124,Entrega realizada,8/3/2020
SUL,PARAN¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",2975,324125,Entrega realizada,8/4/2020
SUDESTE,RIO DE JANEIRO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",80400,324126,Entrega realizada,8/4/2020
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",2675,324127,Entrega realizada,8/6/2020
NORTE,ROND‘NIA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",3575,324128,Entrega realizada,8/7/2020
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",800,324130,Entrega realizada,8/5/2020
SUL,RIO GRANDE DO SUL,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",23025,324132,Entrega realizada,8/6/2020
SUL,SANTA CATARINA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",38650,324133,Entrega realizada,8/5/2020
NORDESTE,SERGIPE,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",4425,324135,Entrega realizada,8/5/2020
SUDESTE,S√O PAULO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",13475,324136,Entrega realizada,8/4/2020
NORTE,TOCANTINS,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,10400,324137,Entrega realizada,8/7/2020
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,780,324130,Entrega realizada,8/5/2020
NORDESTE,ALAGOAS,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,4775,324101,Entrega realizada,8/5/2020
SUL,PARAN¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,5095,324125,Entrega realizada,8/4/2020
NORDESTE,CEAR¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,8560,324106,Entrega realizada,8/5/2020
NORTE,AMAP¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,1265,324104,Entrega realizada,8/6/2020
SUDESTE,S√O PAULO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,15160,324136,Entrega realizada,8/4/2020
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,1000,324116,Entrega realizada,8/6/2020
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,825,324118,Entrega realizada,8/7/2020
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,2140,324127,Entrega realizada,8/6/2020
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"NOREPINEFRINA, HEMITARTARATO 2 MG/ML",AMPOLA 4 mL,26000,324091,Entrega realizada,8/5/2020
NORTE,PAR¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"NOREPINEFRINA, HEMITARTARATO 2 MG/ML",AMPOLA 4 mL,17500,324079,Entrega realizada,8/4/2020
NORTE,AMAP¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"NOREPINEFRINA, HEMITARTARATO 2 MG/ML",AMPOLA 4 mL,4000,324061,Entrega realizada,8/6/2020
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"NOREPINEFRINA, HEMITARTARATO 2 MG/ML",AMPOLA 4 mL,10150,324089,Entrega realizada,8/4/2020
NORTE,TOCANTINS,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"NOREPINEFRINA, HEMITARTARATO 2 MG/ML",AMPOLA 4 mL,10150,324097,Entrega realizada,8/7/2020
CENTRO-OESTE,DISTRITO FEDERAL,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"NOREPINEFRINA, HEMITARTARATO 2 MG/ML",AMPOLA 4 mL,5250,324067,Entrega realizada,8/6/2020
SUDESTE,RIO DE JANEIRO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"NOREPINEFRINA, HEMITARTARATO 2 MG/ML",AMPOLA 4 mL,25800,324087,Entrega realizada,8/4/2020
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"NOREPINEFRINA, HEMITARTARATO 2 MG/ML",AMPOLA 4 mL,2150,324084,Entrega realizada,8/3/2020
NORTE,ACRE,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,45,324628,Entrega realizada,8/11/2020
NORDESTE,ALAGOAS,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,2100,324629,Entrega realizada,8/7/2020
NORTE,AMAZONAS,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,435,324630,Entrega realizada,8/10/2020
NORTE,AMAP¡,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,1110,324631,Entrega realizada,8/11/2020
NORDESTE,BAHIA,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,1500,324632,Entrega realizada,8/6/2020
NORDESTE,CEAR¡,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,2835,324633,Entrega realizada,8/7/2020
CENTRO-OESTE,DISTRITO FEDERAL,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,675,324634,Entrega realizada,8/7/2020
SUDESTE,ESPÕRITO SANTO,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,240,324635,Entrega realizada,8/11/2020
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,2895,324636,Entrega realizada,8/7/2020
NORDESTE,MARANH√O,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,1440,324637,Entrega realizada,8/7/2020
SUDESTE,MINAS GERAIS,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,3660,324638,Entrega realizada,8/10/2020
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,375,324639,Entrega realizada,8/7/2020
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,2370,324640,Entrega realizada,8/10/2020
NORTE,PAR¡,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,1845,324641,Entrega realizada,8/7/2020
NORDESTE,PARAÕBA,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,2940,324642,Entrega realizada,8/7/2020
NORDESTE,PERNAMBUCO,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,1725,324643,Entrega realizada,8/7/2020
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,4890,324644,Entrega realizada,8/7/2020
SUL,PARAN¡,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,3525,324645,Entrega realizada,8/7/2020
SUDESTE,RIO DE JANEIRO,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,3060,324646,Entrega realizada,8/7/2020
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,3000,324647,Entrega realizada,8/7/2020
NORTE,ROND‘NIA,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,465,324648,Entrega realizada,8/12/2020
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,1290,324649,Entrega realizada,8/7/2020
SUL,RIO GRANDE DO SUL,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,3300,324650,Entrega realizada,8/10/2020
SUL,SANTA CATARINA,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,3465,324651,Entrega realizada,8/7/2020
NORDESTE,SERGIPE,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,2355,324652,Entrega realizada,8/6/2020
SUDESTE,S√O PAULO,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,26805,324653,Entrega realizada,8/6/2020
NORTE,TOCANTINS,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,780,324654,Entrega realizada,8/7/2020
SUL,RIO GRANDE DO SUL,SES,OPERA«√O URUGUAI,-,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",FRASCO-AMPOLA 20 mL,20322,,Entrega realizada,7/18/2020
SUL,RIO GRANDE DO SUL,SES,OPERA«√O URUGUAI,-,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,4000,,Entrega realizada,7/18/2020
SUL,SANTA CATARINA,SES,OPERA«√O URUGUAI,-,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",FRASCO-AMPOLA 20 mL,10000,,Entrega realizada,7/18/2020
SUL,SANTA CATARINA,SES,OPERA«√O URUGUAI,-,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,1840,,Entrega realizada,7/18/2020
SUL,PARAN¡,SES,ACORDO TRIPARTITE,UNIMED,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,1500,-,Entrega realizada,7/27/2020
SUL,PARAN¡,SES,ACORDO TRIPARTITE,UNIMED,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,2500,-,Entrega realizada,7/27/2020
SUL,PARAN¡,SES,ACORDO TRIPARTITE,UNIMED,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 5 mL,5000,-,Entrega realizada,7/27/2020
CENTRO-OESTE,MATO GROSSO DO SUL,SES,ACORDO TRIPARTITE,UNIMED,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,1500,-,Entrega realizada,7/27/2020
CENTRO-OESTE,MATO GROSSO DO SUL,SES,ACORDO TRIPARTITE,UNIMED,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,2500,-,Entrega realizada,7/27/2020
CENTRO-OESTE,MATO GROSSO DO SUL,SES,ACORDO TRIPARTITE,UNIMED,"MORFINA, SULFATO 10 MG/ML",AMPOLA 1 mL,10000,-,Entrega realizada,7/27/2020
CENTRO-OESTE,MATO GROSSO DO SUL,SES,ACORDO TRIPARTITE,UNIMED,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 5 mL,5000,-,Entrega realizada,7/27/2020
CENTRO-OESTE,MATO GROSSO DO SUL,SES,ACORDO TRIPARTITE,UNIMED,"CETAMINA, CLORIDRATO 50 MG/ML",FRASCO-AMPOLA 10 mL,200,-,Entrega realizada,7/27/2020
SUL,SANTA CATARINA,SES,ACORDO TRIPARTITE,REDE D'OR,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,800,,Entrega realizada,7/27/2020
SUL,SANTA CATARINA,SES,ACORDO TRIPARTITE,REDE D'OR,"CETAMINA, CLORIDRATO 50 MG/ML",FRASCO-AMPOLA 10 mL,200,,Entrega realizada,7/27/2020
NORTE,ACRE,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,150,325822,Entrega realizada,8/15/2020
NORDESTE,ALAGOAS,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,1040,325823,Entrega realizada,8/15/2020
NORTE,AMAP¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,975,325824,Entrega realizada,8/15/2020
NORTE,AMAZONAS,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,595,325825,Entrega realizada,8/15/2020
NORDESTE,BAHIA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,2835,325826,Entrega realizada,8/14/2020
NORDESTE,CEAR¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,7180,325827,Entrega realizada,8/14/2020
CENTRO-OESTE,DISTRITO FEDERAL,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,125,325828,Entrega realizada,8/17/2020
