nome_carro,marca,modelo,idade_carro,km_percorrido,tipo_vendedor,tipo_combustivel,tipo_transmissao,quilometragem,motor,potencia,assentos,preco_venda,ipva,familia
Skoda Yeti,Skoda,Yeti,10,29000,distribuidor,Diesel,Manual,17.67,1968,138.08,5,690000,27600.0,media
Hyundai i20,Hyundai,i20,3,20000,distribuidor,Petrol,Automatic,17.4,1197,81.86,5,795000,31800.0,media
Maruti Baleno,Maruti,Baleno,3,4700,distribuidor,Petrol,Manual,21.01,1197,81.8,5,675000,27000.0,media
Hyundai i20,Hyundai,i20,5,35000,distribuidor,Petrol,Manual,17.19,1197,81.86,5,650000,26000.0,media
Mahindra XUV500,Mahindra,XUV500,9,120000,particular,Diesel,Manual,15.1,2179,140.0,7,600000,24000.0,grande
Honda Accord,Honda,Accord,9,48000,distribuidor,Petrol,Automatic,11.7,2354,177.6,5,675000,27000.0,media
Maruti Alto,Maruti,Alto,5,20000,particular,Petrol,Manual,23.95,998,67.05,5,315000,12600.0,media
Nissan Micra,Nissan,Micra,11,57856,distribuidor,Petrol,Manual,18.06,1198,75.0,5,241000,9640.0,media
Chevrolet Tavera,Chevrolet,Tavera,6,60000,particular,Diesel,Manual,13.58,2499,72.4,10,525000,21000.0,grande
Hyundai Verna,Hyundai,Verna,11,72000,distribuidor,Diesel,Manual,16.2,1493,110.0,5,410000,16400.0,media
Volkswagen Ameo,Volkswagen,Ameo,4,30000,particular,Petrol,Manual,17.0,1198,73.75,5,550000,22000.0,media
Mini Cooper,Mini,Cooper,7,29000,distribuidor,Diesel,Automatic,23.8,1998,112.0,5,1750000,70000.0,media
Maruti Ciaz,Maruti,Ciaz,6,67927,distribuidor,Petrol,Manual,20.73,1373,91.1,5,650000,26000.0,media
Hyundai i20,Hyundai,i20,2,34900,distribuidor,Petrol,Manual,18.6,1197,81.83,5,710000,28400.0,media
Hyundai Xcent,Hyundai,Xcent,5,8041,particular,Petrol,Manual,19.1,1197,82.0,5,420000,16800.0,media
Ford Ecosport,Ford,Ecosport,5,125000,distribuidor,Diesel,Manual,22.77,1498,98.59,5,651000,26040.0,media
Ford Endeavour,Ford,Endeavour,4,79000,distribuidor,Diesel,Automatic,10.91,3198,197.0,7,2750000,110000.0,grande
Maruti Baleno,Maruti,Baleno,4,15000,particular,Petrol,Manual,21.4,1197,83.1,5,600000,24000.0,media
Jeep Compass,Jeep,Compass,3,25000,distribuidor,Petrol,Automatic,16.0,1368,160.0,5,1700000,68000.0,media
Maruti Ciaz,Maruti,Ciaz,7,65000,distribuidor,Petrol,Manual,20.73,1373,91.1,5,540000,21600.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,5,120000,particular,CNG,Manual,19.0,1197,85.8,5,325000,13000.0,media
Hyundai i20,Hyundai,i20,7,47900,distribuidor,Petrol,Automatic,15.0,1396,98.6,5,510000,20400.0,media
BMW X1,BMW,X1,8,56000,particular,Diesel,Automatic,17.05,1995,184.0,5,1280000,51200.0,media
Toyota Innova,Toyota,Innova,9,120000,particular,Diesel,Manual,12.8,2494,102.0,7,800000,32000.0,grande
Maruti Wagon R,Maruti,Wagon R,7,61000,distribuidor,Petrol,Manual,20.51,998,67.04,5,350000,14000.0,media
Toyota Fortuner,Toyota,Fortuner,10,175000,distribuidor,Diesel,Manual,11.5,2982,171.0,7,1075000,43000.0,grande
Maruti Alto,Maruti,Alto,6,70000,particular,Petrol,Manual,22.74,796,47.3,5,240000,9600.0,media
Hyundai i20,Hyundai,i20,2,4000,distribuidor,Petrol,Automatic,15.0,1396,100.0,5,875000,35000.0,media
Mahindra Bolero,Mahindra,Bolero,4,60000,particular,Diesel,Manual,16.5,1493,70.0,7,800000,32000.0,grande
Maruti Alto,Maruti,Alto,3,5917,distribuidor,Petrol,Manual,23.95,998,67.05,5,371000,14840.0,media
Mahindra Logan,Mahindra,Logan,10,36000,particular,Petrol,Manual,15.7,1390,75.0,5,180000,7200.0,media
Skoda Superb,Skoda,Superb,10,56468,distribuidor,Petrol,Manual,13.14,1798,157.8,5,479000,19160.0,media
Hyundai EON,Hyundai,EON,8,50575,distribuidor,Petrol,Manual,22.0,814,55.0,5,275000,11000.0,media
Hyundai i20,Hyundai,i20,4,41280,distribuidor,Petrol,Manual,17.0,1197,80.0,5,585000,23400.0,media
Hyundai Grand,Hyundai,Grand,7,49000,distribuidor,Petrol,Manual,18.9,1197,82.0,5,459000,18360.0,media
Honda WR-V,Honda,WR-V,4,58000,distribuidor,Diesel,Manual,25.5,1498,98.6,5,885000,35400.0,media
Hyundai Elantra,Hyundai,Elantra,7,57000,distribuidor,Diesel,Automatic,19.5,1582,126.24,5,785000,31400.0,media
BMW 5,BMW,5,8,55000,distribuidor,Diesel,Automatic,18.48,1995,177.0,5,1500000,60000.0,media
Hyundai i20,Hyundai,i20,4,24000,distribuidor,Diesel,Manual,22.54,1396,88.73,5,750000,30000.0,media
Mercedes-Benz CLA,Mercedes-Benz,CLA,2,27000,distribuidor,Diesel,Automatic,17.9,2143,136.0,5,2750000,110000.0,media
Maruti Ertiga,Maruti,Ertiga,6,50000,particular,Diesel,Manual,20.77,1248,88.76,7,707000,28280.0,grande
Mahindra TUV,Mahindra,TUV,5,80000,particular,Diesel,Manual,18.49,1493,100.0,7,560000,22400.0,grande
Maruti Ertiga,Maruti,Ertiga,7,51890,distribuidor,CNG,Manual,17.5,1373,80.46,7,595000,23800.0,grande
Honda City,Honda,City,14,58641,distribuidor,Petrol,Manual,17.7,1497,78.0,5,195000,7800.0,media
Toyota Innova,Toyota,Innova,8,117000,distribuidor,Diesel,Manual,12.99,2494,100.0,7,950000,38000.0,grande
Maruti Ciaz,Maruti,Ciaz,4,25000,distribuidor,Petrol,Automatic,19.12,1373,91.1,5,795000,31800.0,media
Hyundai Grand,Hyundai,Grand,4,20000,particular,Petrol,Manual,18.9,1197,82.0,5,615000,24600.0,media
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,4,24323,distribuidor,Diesel,Automatic,14.84,2143,167.62,5,3375000,135000.0,media
Maruti Baleno,Maruti,Baleno,3,21000,distribuidor,Petrol,Manual,21.01,1197,81.8,5,731000,29240.0,media
Honda City,Honda,City,8,67000,distribuidor,Petrol,Automatic,15.6,1497,116.3,5,475000,19000.0,media
Renault KWID,Renault,KWID,5,7000,distribuidor,Petrol,Manual,22.3,799,53.26,5,325000,13000.0,media
Renault KWID,Renault,KWID,3,42000,distribuidor,Petrol,Manual,23.01,999,67.0,5,400000,16000.0,media
Hyundai Verna,Hyundai,Verna,10,58000,distribuidor,Petrol,Manual,17.1,1591,121.3,5,399000,15960.0,media
Nissan Sunny,Nissan,Sunny,5,71000,distribuidor,Diesel,Manual,21.64,1461,84.8,5,575000,23000.0,media
Maruti Ciaz,Maruti,Ciaz,4,31400,distribuidor,Diesel,Manual,28.09,1248,88.5,5,785000,31400.0,media
Hyundai Creta,Hyundai,Creta,4,35000,particular,Diesel,Manual,19.67,1582,126.2,5,1125000,45000.0,media
Ford Ecosport,Ford,Ecosport,8,56260,distribuidor,Petrol,Manual,18.88,999,123.37,5,499000,19960.0,media
Maruti Wagon R,Maruti,Wagon R,14,115000,distribuidor,Petrol,Manual,21.79,998,67.05,5,110000,4400.0,media
Hyundai i10,Hyundai,i10,8,34579,distribuidor,Petrol,Manual,20.36,1197,78.9,5,295000,11800.0,media
Fiat Punto,Fiat,Punto,11,49000,distribuidor,Petrol,Manual,15.7,1172,67.0,5,185000,7400.0,media
Volkswagen Vento,Volkswagen,Vento,6,27000,distribuidor,Petrol,Automatic,16.93,1197,103.2,5,665000,26600.0,media
Toyota Corolla,Toyota,Corolla,3,7000,distribuidor,Petrol,Automatic,14.28,1798,138.03,5,1445000,57800.0,media
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,11,70000,particular,Petrol,Automatic,10.93,2497,204.0,5,1000000,40000.0,media
Hyundai i20,Hyundai,i20,4,20000,distribuidor,Petrol,Manual,18.6,1197,81.83,5,690000,27600.0,media
Maruti Alto,Maruti,Alto,13,50000,distribuidor,Petrol,Manual,19.7,796,46.3,5,145000,5800.0,media
Volkswagen Vento,Volkswagen,Vento,10,59526,distribuidor,Diesel,Manual,20.54,1598,103.6,5,375000,15000.0,media
Maruti Ritz,Maruti,Ritz,5,76000,distribuidor,Diesel,Manual,23.2,1248,73.94,5,440000,17600.0,media
Maruti Ciaz,Maruti,Ciaz,3,25000,distribuidor,Petrol,Manual,20.65,1462,103.25,5,765000,30600.0,media
Mahindra Bolero,Mahindra,Bolero,6,62248,distribuidor,Diesel,Manual,13.6,2523,63.0,7,650000,26000.0,grande
Maruti Ciaz,Maruti,Ciaz,5,67518,distribuidor,Diesel,Manual,28.09,1248,88.5,5,755000,30200.0,media
Maruti Ertiga,Maruti,Ertiga,7,54000,distribuidor,CNG,Manual,22.8,1373,80.9,7,675000,27000.0,grande
Toyota Innova,Toyota,Innova,7,92965,distribuidor,Diesel,Manual,12.99,2494,100.57,7,1025000,41000.0,grande
Datsun GO,Datsun,GO,6,22211,distribuidor,Petrol,Manual,19.02,1198,67.05,5,249000,9960.0,media
Toyota Innova,Toyota,Innova,9,255000,particular,Diesel,Manual,12.8,2494,102.0,8,725000,29000.0,grande
Maruti Swift,Maruti,Swift,7,47000,distribuidor,Diesel,Manual,22.9,1248,74.0,5,500000,20000.0,media
Honda Civic,Honda,Civic,13,57000,distribuidor,Petrol,Automatic,13.9,1799,130.2,5,250000,10000.0,media
Renault KWID,Renault,KWID,4,8560,distribuidor,Petrol,Automatic,24.04,999,67.0,5,371000,14840.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,4,72000,particular,Diesel,Manual,26.59,1248,74.0,5,720000,28800.0,media
Maruti Wagon R,Maruti,Wagon R,6,39983,distribuidor,Petrol,Manual,21.79,998,67.05,5,425000,17000.0,media
Hyundai Grand,Hyundai,Grand,6,78000,distribuidor,Petrol,Manual,18.9,1197,82.0,5,425000,17000.0,media
Ford Ecosport,Ford,Ecosport,1,6000,distribuidor,Diesel,Manual,23.0,1498,98.96,5,1095000,43800.0,media
Honda City,Honda,City,5,32000,distribuidor,Petrol,Automatic,18.0,1497,117.3,5,845000,33800.0,media
Hyundai Creta,Hyundai,Creta,6,81000,distribuidor,Diesel,Manual,19.67,1582,126.2,5,975000,39000.0,media
Maruti Dzire VXI,Maruti,Dzire VXI,9,24000,distribuidor,Petrol,Automatic,24.12,1197,88.5,5,411000,16440.0,media
Honda Amaze,Honda,Amaze,8,64000,distribuidor,Diesel,Manual,25.8,1498,98.6,5,396000,15840.0,media
Maruti Baleno,Maruti,Baleno,3,22000,distribuidor,Petrol,Manual,21.4,1197,83.1,5,750000,30000.0,media
Honda Accord,Honda,Accord,8,70000,distribuidor,Petrol,Manual,12.8,2354,177.6,5,595000,23800.0,media
Toyota Etios,Toyota,Etios,7,80000,particular,Petrol,Manual,16.78,1496,88.73,5,410000,16400.0,media
Ford Figo,Ford,Figo,10,48971,distribuidor,Diesel,Manual,20.0,1399,68.0,5,282000,11280.0,media
Maruti Wagon R,Maruti,Wagon R,6,40000,particular,Petrol,Automatic,20.51,998,67.04,5,450000,18000.0,media
Mahindra XUV500,Mahindra,XUV500,4,89200,particular,Diesel,Automatic,16.0,2179,140.0,7,1650000,66000.0,grande
Honda Brio,Honda,Brio,5,7623,distribuidor,Petrol,Manual,19.4,1198,86.8,5,481000,19240.0,media
Hyundai Grand,Hyundai,Grand,4,16000,distribuidor,Petrol,Manual,18.9,1197,82.0,5,490000,19600.0,media
Ford Ecosport,Ford,Ecosport,7,44406,distribuidor,Petrol,Manual,18.88,999,123.24,5,650000,26000.0,media
Mahindra Bolero,Mahindra,Bolero,11,25000,particular,Diesel,Manual,13.6,2523,63.0,7,250000,10000.0,grande
Datsun GO,Datsun,GO,5,15000,particular,Petrol,Manual,19.44,1198,67.0,7,350000,14000.0,grande
Hyundai i20,Hyundai,i20,4,27266,distribuidor,Petrol,Manual,18.6,1197,81.83,5,700000,28000.0,media
Honda Amaze,Honda,Amaze,4,50000,particular,Petrol,Manual,17.8,1198,86.7,5,550000,22000.0,media
Maruti Swift,Maruti,Swift,13,120000,particular,Diesel,Manual,17.8,1248,75.0,5,250000,10000.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,7,50000,distribuidor,Petrol,Manual,20.85,1197,83.14,5,475000,19000.0,media
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,73000,distribuidor,Diesel,Automatic,14.84,2143,170.0,5,1075000,43000.0,media
Toyota Innova,Toyota,Innova,7,86000,distribuidor,Diesel,Manual,12.8,2494,102.0,7,995000,39800.0,grande
Datsun RediGO,Datsun,RediGO,4,20000,distribuidor,Petrol,Manual,22.5,999,67.0,5,271000,10840.0,media
Hyundai i10,Hyundai,i10,9,62000,distribuidor,Petrol,Manual,19.81,1086,68.05,5,255000,10200.0,media
Honda Mobilio,Honda,Mobilio,7,120000,particular,Diesel,Manual,24.5,1498,98.6,7,550000,22000.0,grande
Maruti Ertiga,Maruti,Ertiga,3,36352,distribuidor,Petrol,Manual,19.34,1462,103.0,7,855000,34200.0,grande
Audi Q3,Audi,Q3,3,12000,distribuidor,Diesel,Automatic,15.17,1968,181.0,5,3200000,128000.0,media
Honda BRV,Honda,BRV,5,25000,distribuidor,Petrol,Manual,15.4,1497,117.3,7,750000,30000.0,grande
Maruti Ciaz,Maruti,Ciaz,6,48000,distribuidor,Diesel,Manual,26.21,1248,88.5,5,685000,27400.0,media
Maruti Swift,Maruti,Swift,8,78278,distribuidor,Diesel,Manual,22.9,1248,74.0,5,475000,19000.0,media
Volkswagen Polo,Volkswagen,Polo,6,100000,particular,Diesel,Manual,20.14,1498,88.8,5,450000,18000.0,media
Toyota Innova,Toyota,Innova,5,53380,distribuidor,Diesel,Automatic,13.68,2393,147.51,8,1650000,66000.0,grande
Hyundai i20,Hyundai,i20,5,68000,distribuidor,Diesel,Manual,22.54,1396,88.73,5,720000,28800.0,media
Maruti Wagon R,Maruti,Wagon R,11,75008,distribuidor,Petrol,Manual,18.9,998,67.1,5,240000,9600.0,media
Ford Ecosport,Ford,Ecosport,3,29000,distribuidor,Diesel,Manual,23.0,1498,98.96,5,940000,37600.0,media
Hyundai Verna,Hyundai,Verna,5,83000,particular,Diesel,Manual,24.8,1396,88.7,5,775000,31000.0,media
Toyota Innova,Toyota,Innova,6,114000,distribuidor,Diesel,Manual,12.99,2494,100.6,7,1275000,51000.0,grande
Hyundai i10,Hyundai,i10,8,42000,distribuidor,Petrol,Automatic,16.95,1197,78.9,5,360000,14400.0,media
Maruti Ritz,Maruti,Ritz,10,71000,distribuidor,Diesel,Manual,21.1,1248,73.9,5,265000,10600.0,media
Toyota Innova,Toyota,Innova,6,117000,distribuidor,Diesel,Manual,12.99,2494,100.6,8,1155000,46200.0,grande
Skoda Superb,Skoda,Superb,12,61205,distribuidor,Petrol,Automatic,13.7,1798,157.75,5,449000,17960.0,media
Hyundai i20,Hyundai,i20,9,87000,distribuidor,Diesel,Manual,23.0,1396,90.0,5,460000,18400.0,media
Mahindra Xylo,Mahindra,Xylo,12,90000,distribuidor,Diesel,Manual,14.0,2498,112.0,8,300000,12000.0,grande
Hyundai Xcent,Hyundai,Xcent,6,52000,distribuidor,Diesel,Manual,24.4,1120,71.01,5,515000,20600.0,media
Skoda Rapid,Skoda,Rapid,5,49661,distribuidor,Diesel,Automatic,21.66,1498,103.52,5,695000,27800.0,media
Hyundai i10,Hyundai,i10,8,20000,distribuidor,Petrol,Automatic,16.95,1197,78.9,5,375000,15000.0,media
Maruti Alto,Maruti,Alto,7,56332,distribuidor,Petrol,Manual,23.95,998,67.05,5,285000,11400.0,media
Maruti Swift,Maruti,Swift,8,37000,distribuidor,Petrol,Manual,18.6,1197,85.8,5,410000,16400.0,media
Honda Jazz,Honda,Jazz,2,7000,distribuidor,Petrol,Automatic,19.0,1199,88.7,5,821000,32840.0,media
Hyundai Grand,Hyundai,Grand,5,40000,distribuidor,Petrol,Manual,18.9,1197,82.0,5,510000,20400.0,media
Ford Figo,Ford,Figo,10,570000,distribuidor,Petrol,Manual,15.6,1196,70.0,5,200000,8000.0,media
Mahindra Scorpio,Mahindra,Scorpio,4,61000,distribuidor,Diesel,Manual,15.4,1997,120.0,7,1025000,41000.0,grande
Maruti Baleno,Maruti,Baleno,5,95000,particular,Petrol,Manual,21.4,1197,83.1,5,550000,22000.0,media
Hyundai Elantra,Hyundai,Elantra,3,18000,distribuidor,Petrol,Automatic,14.62,1999,149.92,5,1550000,62000.0,media
Maruti Ciaz,Maruti,Ciaz,6,67181,distribuidor,Diesel,Manual,26.21,1248,88.5,5,679000,27160.0,media
Renault Duster,Renault,Duster,7,120000,particular,Petrol,Manual,13.24,1598,102.57,5,545000,21800.0,media
Honda City,Honda,City,11,84768,distribuidor,Petrol,Manual,17.0,1497,118.0,5,275000,11000.0,media
Maruti A,Maruti,A,11,28563,distribuidor,Petrol,Manual,19.0,998,66.1,5,185000,7400.0,media
Maruti Celerio,Maruti,Celerio,6,36000,distribuidor,CNG,Manual,31.79,998,58.2,5,422000,16880.0,media
Chevrolet Spark,Chevrolet,Spark,13,39000,distribuidor,LPG,Manual,16.0,995,59.0,5,89000,3560.0,media
Mahindra Scorpio,Mahindra,Scorpio,5,49490,distribuidor,Diesel,Manual,15.4,2179,120.0,7,975000,39000.0,grande
Maruti Ertiga,Maruti,Ertiga,4,33072,distribuidor,CNG,Manual,26.08,1462,91.19,7,790000,31600.0,grande
Maruti Ertiga,Maruti,Ertiga,6,92457,particular,Diesel,Manual,20.77,1248,88.8,7,699000,27960.0,grande
Volkswagen Ameo,Volkswagen,Ameo,4,44000,distribuidor,Diesel,Manual,21.66,1498,108.62,5,500000,20000.0,media
Mahindra XUV500,Mahindra,XUV500,7,114000,distribuidor,Diesel,Manual,15.1,2179,140.0,7,690000,27600.0,grande
Volkswagen Polo,Volkswagen,Polo,6,56606,distribuidor,Petrol,Automatic,17.21,1197,103.6,5,662000,26480.0,media
Hyundai Verna,Hyundai,Verna,8,57800,distribuidor,Petrol,Manual,17.1,1591,121.3,5,485000,19400.0,media
Honda City,Honda,City,7,70000,particular,Diesel,Manual,26.0,1498,98.6,5,520000,20800.0,media
Hyundai Grand,Hyundai,Grand,7,35000,particular,Petrol,Manual,18.9,1197,82.0,5,425000,17000.0,media
Maruti Ciaz,Maruti,Ciaz,6,25000,particular,Petrol,Manual,20.73,1373,91.1,5,700000,28000.0,media
Hyundai Elantra,Hyundai,Elantra,2,10000,particular,Petrol,Automatic,14.62,1999,149.92,5,1890000,75600.0,media
Maruti Baleno,Maruti,Baleno,3,16348,distribuidor,Petrol,Manual,21.4,1197,83.1,5,700000,28000.0,media
Maruti Wagon R,Maruti,Wagon R,8,55853,distribuidor,CNG,Manual,33.54,998,67.04,5,349000,13960.0,media
Maruti Baleno,Maruti,Baleno,4,21000,distribuidor,Petrol,Automatic,21.4,1197,83.1,5,745000,29800.0,media
Skoda Superb,Skoda,Superb,10,44275,distribuidor,Petrol,Automatic,13.7,1798,157.75,5,535000,21400.0,media
Maruti Wagon R,Maruti,Wagon R,8,58288,distribuidor,CNG,Manual,26.2,998,58.2,5,350000,14000.0,media
Mahindra KUV100,Mahindra,KUV100,3,79814,particular,Petrol,Manual,18.15,1198,82.0,6,500000,20000.0,grande
BMW 5,BMW,5,5,27000,distribuidor,Diesel,Automatic,14.69,2993,258.0,5,3200000,128000.0,media
Hyundai Elantra,Hyundai,Elantra,8,80000,particular,Petrol,Automatic,14.5,1797,147.5,5,750000,30000.0,media
Hyundai Creta,Hyundai,Creta,2,38000,particular,Diesel,Manual,22.1,1396,88.7,5,1050000,42000.0,media
BMW 3,BMW,3,7,25000,distribuidor,Diesel,Automatic,18.88,1995,184.0,5,1699000,67960.0,media
Maruti Swift,Maruti,Swift,7,67800,distribuidor,Diesel,Manual,28.4,1248,74.0,5,495000,19800.0,media
Maruti Wagon R,Maruti,Wagon R,11,49000,distribuidor,Petrol,Manual,18.9,998,67.1,5,220000,8800.0,media
Honda City,Honda,City,5,36070,distribuidor,Petrol,Manual,16.8,1497,116.3,5,754000,30160.0,media
Maruti SX4,Maruti,SX4,6,46253,distribuidor,Diesel,Manual,23.65,1248,88.5,5,620000,24800.0,media
Ford Figo,Ford,Figo,9,55500,distribuidor,Petrol,Manual,15.6,1196,70.0,5,249000,9960.0,media
Skoda Rapid,Skoda,Rapid,5,48000,distribuidor,Diesel,Automatic,21.66,1498,103.52,5,675000,27000.0,media
Hyundai i20,Hyundai,i20,5,35000,distribuidor,Petrol,Manual,18.6,1197,81.83,5,578000,23120.0,media
Maruti Ertiga,Maruti,Ertiga,4,12000,distribuidor,CNG,Manual,17.5,1373,80.46,7,845000,33800.0,grande
Datsun RediGO,Datsun,RediGO,4,23000,distribuidor,Petrol,Manual,22.7,799,53.64,5,310000,12400.0,media
Hyundai Creta,Hyundai,Creta,4,49000,distribuidor,Petrol,Automatic,13.0,1591,121.3,5,1125000,45000.0,media
Hyundai Xcent,Hyundai,Xcent,5,190000,particular,Diesel,Manual,24.4,1120,71.0,5,500000,20000.0,media
Honda BRV,Honda,BRV,5,61000,distribuidor,Diesel,Manual,21.9,1498,98.6,7,755000,30200.0,grande
Maruti Alto,Maruti,Alto,12,55274,distribuidor,Petrol,Manual,19.7,796,46.3,5,145000,5800.0,media
Hyundai Santro,Hyundai,Santro,13,60000,distribuidor,Petrol,Manual,17.8,1086,63.0,5,135000,5400.0,media
Maruti Ritz,Maruti,Ritz,10,85250,distribuidor,Petrol,Manual,21.1,1197,85.8,5,290000,11600.0,media
Skoda Superb,Skoda,Superb,11,64400,distribuidor,Petrol,Automatic,13.7,1798,157.75,5,399000,15960.0,media
Maruti Baleno,Maruti,Baleno,5,100000,particular,Diesel,Manual,27.39,1248,74.0,5,650000,26000.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,7,94000,distribuidor,Petrol,Manual,19.1,1197,85.8,5,475000,19000.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,9,80000,particular,Petrol,Manual,19.1,1197,85.8,5,400000,16000.0,media
Honda Amaze,Honda,Amaze,6,59123,distribuidor,Petrol,Manual,18.0,1198,86.7,5,475000,19000.0,media
Volkswagen Vento,Volkswagen,Vento,9,62000,distribuidor,Petrol,Manual,16.09,1598,103.2,5,370000,14800.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,8,56694,distribuidor,Petrol,Manual,19.1,1197,85.8,5,435000,17400.0,media
Maruti Baleno,Maruti,Baleno,3,25000,particular,Petrol,Manual,21.4,1197,83.1,5,575000,23000.0,media
Hyundai Verna,Hyundai,Verna,9,78000,distribuidor,Petrol,Manual,17.1,1591,121.3,5,500000,20000.0,media
Honda City,Honda,City,5,13321,distribuidor,Petrol,Manual,17.8,1497,117.3,5,750000,30000.0,media
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,77000,distribuidor,Diesel,Automatic,19.27,2143,167.62,5,1050000,42000.0,media
Land Rover Rover,Land Rover,Rover,11,120000,distribuidor,Diesel,Automatic,12.35,2179,187.74,5,2150000,86000.0,media
Hyundai i20,Hyundai,i20,8,70000,particular,Diesel,Manual,21.9,1396,88.76,5,425000,17000.0,media
Maruti Baleno,Maruti,Baleno,6,59769,distribuidor,Petrol,Automatic,19.56,1197,81.8,5,575000,23000.0,media
Mahindra Bolero,Mahindra,Bolero,2,23000,distribuidor,Diesel,Manual,15.96,2523,62.1,7,800000,32000.0,grande
Hyundai i20,Hyundai,i20,3,48000,distribuidor,Diesel,Manual,22.54,1396,88.73,5,775000,31000.0,media
Maruti Alto,Maruti,Alto,8,70000,particular,Petrol,Manual,20.2,998,67.1,5,230000,9200.0,media
Ford Figo,Ford,Figo,9,41650,particular,Diesel,Manual,20.0,1399,68.0,5,295000,11800.0,media
Maruti Alto,Maruti,Alto,4,10617,distribuidor,Petrol,Manual,24.7,796,47.3,5,314000,12560.0,media
Honda Amaze,Honda,Amaze,7,56000,particular,Diesel,Manual,25.8,1498,98.6,5,399000,15960.0,media
Maruti Alto,Maruti,Alto,4,9122,distribuidor,Petrol,Manual,24.7,796,47.3,5,323000,12920.0,media
Chevrolet Sail,Chevrolet,Sail,6,90000,particular,Diesel,Manual,22.1,1248,74.0,5,290000,11600.0,media
Maruti Swift,Maruti,Swift,7,100000,distribuidor,Diesel,Manual,22.9,1248,74.0,5,485000,19400.0,media
Hyundai i20,Hyundai,i20,5,54000,distribuidor,Diesel,Manual,23.0,1396,90.0,5,650000,26000.0,media
Maruti Vitara,Maruti,Vitara,4,85000,distribuidor,Diesel,Manual,24.3,1248,88.5,5,735000,29400.0,media
Ford Fiesta,Ford,Fiesta,6,120000,particular,Diesel,Manual,25.01,1498,89.75,5,510000,20400.0,media
Renault KWID,Renault,KWID,5,51000,distribuidor,Petrol,Manual,21.74,999,67.0,5,315000,12600.0,media
Mahindra XUV500,Mahindra,XUV500,7,103000,distribuidor,Diesel,Manual,15.1,2179,140.0,7,785000,31400.0,grande
Maruti Baleno,Maruti,Baleno,4,40174,distribuidor,Petrol,Manual,21.4,1197,83.1,5,675000,27000.0,media
Maruti Zen,Maruti,Zen,16,90000,particular,Petrol,Manual,17.3,993,60.0,5,95000,3800.0,media
Honda City,Honda,City,4,70000,particular,Petrol,Automatic,18.0,1497,117.6,5,870000,34800.0,media
Maruti Celerio,Maruti,Celerio,5,70000,particular,Petrol,Manual,23.1,998,67.04,5,375000,15000.0,media
MG Hector,MG,Hector,2,6231,distribuidor,Petrol,Automatic,13.96,1451,141.0,5,1630000,65200.0,media
Skoda Fabia,Skoda,Fabia,10,56767,distribuidor,Diesel,Manual,20.86,1199,73.9,5,255000,10200.0,media
Hyundai i20,Hyundai,i20,4,56244,distribuidor,Diesel,Manual,22.54,1396,88.73,5,795000,31800.0,media
Maruti Vitara,Maruti,Vitara,3,35000,particular,Diesel,Automatic,24.3,1248,88.5,5,1100000,44000.0,media
Mahindra TUV,Mahindra,TUV,5,58237,distribuidor,Diesel,Manual,18.49,1493,100.0,7,780000,31200.0,grande
Hyundai Creta,Hyundai,Creta,4,68000,distribuidor,Diesel,Automatic,17.6,1582,126.2,5,1340000,53600.0,media
Toyota Innova,Toyota,Innova,5,40000,particular,Diesel,Manual,13.68,2393,147.8,7,1500000,60000.0,grande
Nissan Sunny,Nissan,Sunny,6,58479,distribuidor,Petrol,Automatic,17.97,1498,99.6,5,375000,15000.0,media
Skoda Superb,Skoda,Superb,11,82000,distribuidor,Petrol,Automatic,13.7,1798,157.75,5,375000,15000.0,media
Volkswagen Polo,Volkswagen,Polo,8,110000,particular,Diesel,Manual,22.07,1199,73.9,5,375000,15000.0,media
Maruti Celerio,Maruti,Celerio,3,9522,distribuidor confiável,Petrol,Automatic,21.63,998,67.05,5,550000,22000.0,media
Skoda Rapid,Skoda,Rapid,8,70000,particular,Diesel,Manual,20.5,1598,103.5,5,410000,16400.0,media
Maruti SX4,Maruti,SX4,10,78760,particular,Petrol,Manual,15.5,1586,103.3,5,250000,10000.0,media
Maruti Celerio,Maruti,Celerio,3,22000,distribuidor,Petrol,Manual,21.63,998,67.05,5,455000,18200.0,media
Volkswagen Vento,Volkswagen,Vento,10,69000,distribuidor,Petrol,Manual,16.09,1598,103.2,5,325000,13000.0,media
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,4,35000,distribuidor,Petrol,Automatic,12.0,1991,181.03,5,3945000,157800.0,media
Hyundai Elantra,Hyundai,Elantra,8,112087,distribuidor,Diesel,Automatic,19.5,1582,126.24,5,651000,26040.0,media
Fiat Grande,Fiat,Grande,10,78338,distribuidor,Petrol,Manual,16.2,1172,68.0,5,175000,7000.0,media
Hyundai Grand,Hyundai,Grand,6,38000,distribuidor,Petrol,Manual,18.9,1197,82.0,5,485000,19400.0,media
